#Boxplots d'expressions du gène PTPN11 en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 3.573, p-value = 0.00094
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       1        2.487308
BA2496       1        2.086570
BA3037       1        3.342697
BA2865       1        2.596122
BA2751       1        2.102137
BA2055       1        0.163353
BA2286       1        2.392907
BA2488       1        3.014574
BA3379       1        2.879967
BA2887       1        3.967528
BA2712       2        2.524732
BA2068       2        2.031415
BA2104       1        1.788404
BA3124       1        1.373406
BA2449       1        2.973624
BA2235       1        2.589749
BA3038       1        2.375501
BA3006       3        2.368222
BA2667       1        2.036731
BA2239       1        2.078962
BA2782       3        1.581423
BA2649       1        3.590257
BA2861       1        3.030917
BA2134       1        2.039483
BA2909       1        1.904132
BA2653       1        5.236971
BA2947       1        1.842173
BA2162       1        3.198357
BA2564       1        2.108623
BA3043       1        1.616820
BA2597       4        3.116729
BA3243       2        3.044095
BA2446       1        2.399971
BA2525       4        1.577552
BA2876       4        1.925074
BA2357       2        1.898880
BA2546       1        3.135819
BA2742       1        2.334631
BA2316       1        2.119580
BA2087       2        2.584666
BA2148       2        3.265386
BA3178       3        1.582836
BA2072       1        2.175112
BA2733       2        1.700982
BA2995       2        1.758227
BA2069       1        2.839975
BA2681       3        2.763870
BA2832       2        2.765313
BA2600       4        1.422620
BA3230       1        2.440221
BA2731       2        1.960963
BA2294       4        2.586160
BA2816       4        1.985539
BA2814       3        1.725129
BA2631       1        2.565843
BA2023       1        1.859107
BA2375       1        2.459900
BA2485       1        2.515781
BA2455       4        1.960047
BA2636       4        2.587952
BA2325       1        2.250636
BA2156       1        2.373871
BA2511       4        1.399434
BA2505       4        3.261070
BA2871       3        2.539068
BA2227       1        1.693818
BA2812       3        1.516348
BA2125       1        3.698775
BA2603       1        2.643385
BA2808       4        3.593204
BA2482       1        2.635092
BA2594       1        3.720220
BA2747       4        2.036826
BA2561       3        1.174295
BA2567       3        0.857339
BA2906       1        2.960234
BA2956       2        1.725738
BA2474       1        1.691777
BA2737       2        1.836522
BA2006       2        0.195677
BA2110       1        1.491028
BA2915       4        0.465113
BA2992       4        2.570182
BA2220       1        3.765449
BA2063       2        1.609710
BA2772       2        1.818128
BA2935       4        1.465818
BA2260       3        2.185819
BA2948       3        2.299657
BA3296       1        1.438091
BA2524       4        2.412085
BA2811       1        3.993994
BA2540       4        1.859373
BA2928       1        2.670858
BA2302       4        2.104032
BA2651       4        2.891699
BA2619       1        3.504788
BA3013       4        2.153732
BA2405       3        1.869868
BA2856       3        1.745513
BA2377       2        4.005473
BA2499       2        3.172293
BA2350       2        1.421738
BA3023       4        2.538165
BA2095       1        3.796319
BA2275       1        2.585803
BA2901       2        1.867962
BA2387       1        2.652350
BA2962       1        3.217056
BA2195       4        2.363338
BA2688       2        1.551742
BA2420       1        2.845577
BA2053       2        1.854075
BA2081       1        2.668566
BA2354       1        3.053601
BA3273       2        1.825075
BA2893       3        1.709254
BA2044       1        2.710828
BA2489       2        2.437293
BA2908       1        3.213281
BA2054       3        1.766683
BA2872       1        2.662986
BA2041       2        3.019247
BA2464       1        2.609614
BA2902       4        1.265657
BA2541       1        2.964085
BA2843       4        1.552562
BA2497       1        2.875427
BA2718       1        3.043225
BA2575       1        2.176098
BA2593       3        0.185148
BA2791       2        3.250053
BA2620       1        2.942268
BA2629       1        1.849489
BA2870       1        2.656047
BA2682       4        2.335623
BA2276       2        1.488142
BA2709       2        2.069885
BA2789       1        2.692979
BA2538       2        2.614419
BA2583       5        3.705930
BA2806       2        2.730699
BA2441       1        4.239622
BA2514       2        1.689575
BA2520       5        2.172614
BA2479       5        1.391389
BA2281       1        3.853902
BA2932       1        2.650014
BA2123       2        4.124217
BA2844       2        2.121314
BA2660       1        3.532254
BA2836       2        1.945102
BA2714       1        2.273511
BA2440       5        3.365416
BA2036       3        2.635083
BA2828       1        2.272897
BA2952       1        3.330216
BA2410       2        2.435209
BA2139       3        1.878723
BA2051       5        1.970070
BA2532       2        3.632032
BA2494       5        3.055399
BA2748       1        3.077269
BA2622       1        1.893231
BA2970       2        2.025490
BA2839       2        3.906256
BA2868       3        2.819983
BA3011       1        2.154342
BA2052       2        2.155053
BA2510       5        2.131618
BA2691       1        2.791949
BA2374       1        2.441393
BA2804       5        2.050115
BA2675       1        3.223606
BA2031       1        2.612255
BA2198       3        3.689900
BA2066       1        2.329676
BA2344       3        2.511756
BA2459       2        2.253146
BA2229       5        2.546698
BA2559       5        1.752887
BA2093       1        4.136265
BA2000       3        2.525958
BA2425       1        3.730390
BA2905       5        3.372484
BA2304       3        1.944356
BA2976       1        2.184958
BA2386       2        1.991158
BA2035       1        4.315048
BA2760       5        3.323052
BA2201       1        2.192323
BA2355       5        2.460411
BA2113       1        2.814185
BA2955       1        2.252793
BA2322       1        2.232767
BA2020       3        2.875806
BA2226       1        2.535842
BA2376       1        1.907263
BA2889       1        0.014358
BA2121       1        2.853656
BA2944       3        3.267201
BA2033       5        1.899609
BA2867       2        2.127851
BA2089       1        2.310673
BA2224       1        2.231150
BA2046       2        2.125289
BA2972       1        1.729393
BA2978       1        1.657246
BA2851       1        2.428320
BA2587       1        2.353926
BA2024       1        1.274846
BA2426       5        2.263219
BA2271       1        2.494796
BA3004       1        1.785525
BA3010       6        1.968576
BA2662       1        1.351214
BA2658       1        2.235824
BA2512       3        1.512004
BA2109       1        1.342129
BA2242       1        1.359026
BA2132       6        2.024582
BA2846       1        2.592293
