#Boxplots d'expressions du gène RAD21 en fonction de la feature totalDrug
#Résultat du test statistique Mann-Whitney : U = 14343.000, p-value = 0.00170
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       y        7.049189
BA2496       y        7.413089
BA3037       y        7.320241
BA2865       y        7.380621
BA2751       y        7.264241
BA2286       y        7.881918
BA2488       y        7.669884
BA3379       y        7.628062
BA2887       y        7.509833
BA2712       y        7.918959
BA2068       y        7.920459
BA2104       y        7.207129
BA3124       n        7.775813
BA2449       y        7.663696
BA2235       y        7.442425
BA3038       y        7.256113
BA3006       y        7.705821
BA2667       y        7.393491
BA2239       y        7.344593
BA2782       n        7.278057
BA2649       y        7.481635
BA2861       y        7.214632
BA2134       y        7.450540
BA2909       y        7.472129
BA2653       n        7.886425
BA2947       y        7.241384
BA2162       y        7.390433
BA2564       n        7.383618
BA2597       y        7.118172
BA3243       y        7.052926
BA2446       y        7.857779
BA2525       y        7.531975
BA2876       n        7.446441
BA2357       y        8.220366
BA2546       y        7.252717
BA2742       y        7.409002
BA2316       n        7.428253
BA2087       y        7.354841
BA2148       y        7.397345
BA3178       n        8.067061
BA2072       y        7.247323
BA2733       n        7.768842
BA2995       y        7.527767
BA2069       y        7.865198
BA2681       n        7.786813
BA2832       y        7.760597
BA2600       n        7.599310
BA3230       y        7.805437
BA2731       y        6.995164
BA2294       y        7.729414
BA2816       n        7.483826
BA2814       y        7.943141
BA2631       y        7.448397
BA2023       n        8.137476
BA2375       n        7.215425
BA2485       n        7.630415
BA2455       n        7.859315
BA2636       y        7.546256
BA2325       y        7.081484
BA2156       y        7.437299
BA2511       y        7.691603
BA2505       n        7.473165
BA2871       n        7.362524
BA2227       n        7.409002
BA2812       y        7.703303
BA2125       n        7.908034
BA2603       y        7.462610
BA2808       n        7.434268
BA2482       y        7.692883
BA2594       y        7.883422
BA2747       y        7.571312
BA2561       n        7.313973
BA2567       n        7.619497
BA2906       n        7.786813
BA2956       y        7.800943
BA2474       y        7.737327
BA2737       y        7.845671
BA2110       y        7.303130
BA2992       y        7.641355
BA2220       y        7.772952
BA2063       n        7.452756
BA2772       n        7.444440
BA2935       n        7.286229
BA2260       y        7.742635
BA2948       n        8.204145
BA3296       y        7.595656
BA2524       y        7.489339
BA2811       n        7.551898
BA2540       y        7.024807
BA2928       y        7.874307
BA2302       y        7.779818
BA2651       y        7.385603
BA2619       n        8.276700
BA3013       n        7.667355
BA2405       n        7.832684
BA2856       n        7.424155
BA2377       y        7.211347
BA2499       y        8.576594
BA3023       n        7.167958
BA2095       y        7.647789
BA2275       n        7.755101
BA2901       y        7.570034
BA2387       y        7.701971
BA2962       y        7.646367
BA2195       y        7.778460
BA2688       n        7.884947
BA2420       n        7.926997
BA2053       y        7.311272
BA2081       n        6.880343
BA2354       y        7.542954
BA3273       y        6.802399
BA2893       y        7.529880
BA2044       n        7.832684
BA2489       y        7.923642
BA2908       n        8.023245
BA2054       n        7.655133
BA2872       y        7.725460
BA2041       n        8.387951
BA2464       n        7.469974
BA2902       n        7.746670
BA2541       y        7.593254
BA2843       y        7.844231
BA2497       y        8.184160
BA2718       y        7.175957
BA2575       y        7.272052
BA2593       y        5.311828
BA2791       y        7.852051
BA2620       y        7.425196
BA2629       y        7.460658
BA2870       n        7.658985
BA2682       n        7.418896
BA2276       n        7.897179
BA2709       y        7.460658
BA2789       y        7.613629
BA2538       n        8.014572
BA2583       y        7.949362
BA2806       y        7.749512
BA2441       y        7.166329
BA2514       y        8.328550
BA2520       y        7.401089
BA2479       n        7.994138
BA2281       n        8.689630
BA2932       y        7.847345
BA2123       n        8.278835
BA2844       y        7.672338
BA2660       y        7.906540
BA2836       y        7.555262
BA2714       y        7.617186
BA2440       y        8.103599
BA2036       y        7.891087
BA2828       n        7.517327
BA2952       y        7.889495
BA2410       n        7.672338
BA2139       y        7.337966
BA2051       n        7.357647
BA2532       y        8.139386
BA2494       n        7.640030
BA2748       y        7.700647
BA2622       n        7.694206
BA2970       y        7.857779
BA2839       y        7.509833
BA2868       y        7.308615
BA3011       y        8.232205
BA2052       y        8.004431
BA2510       n        8.045918
BA2691       n        7.297771
BA2374       n        7.239744
BA2804       y        7.983860
BA2675       y        7.414970
BA2031       y        7.506472
BA2198       n        7.611230
BA2066       y        7.014073
BA2344       y        7.763347
BA2459       n        7.824067
BA2229       y        7.346442
BA2559       y        7.360473
BA2093       y        8.658453
BA2000       y        7.560949
BA2425       y        7.482761
BA2905       n        7.757804
BA2304       y        7.186441
BA2976       y        7.187317
BA2386       y        7.425196
BA2035       y        7.694206
BA2760       n        7.763347
BA2201       y        7.272052
BA2355       n        8.240941
BA2113       y        7.709614
BA2955       y        7.237197
BA2322       y        6.908770
BA2020       n        7.452756
BA2226       y        7.167958
BA2376       y        7.243903
BA2121       y        7.051324
BA2944       y        7.336183
BA2033       y        7.922151
BA2867       y        7.335298
BA2089       y        7.361459
BA2224       n        7.821098
BA2046       n        7.369105
BA2972       y        6.873371
BA2978       y        7.101605
BA2851       y        7.256113
BA2587       n        7.139940
BA2024       n        7.222047
BA2426       n        7.348375
BA2271       y        7.258878
BA3004       y        7.468950
BA3010       y        7.413089
BA2662       y        7.277183
BA2658       y        6.911374
BA2512       y        7.053627
BA2109       y        7.306760
BA2242       y        7.315791
BA2132       y        7.588796
BA2846       n        7.224594
BA2521       y        7.295153
BA2885       y        7.085982
BA2639       y        7.683998
BA2775       y        7.558671
BA2402       y        7.703303
BA2097       y        7.656323
BA2399       y        7.892577
BA2174       y        7.503289
BA3001       y        7.584150
BA2911       n        7.460658
BA2311       y        7.266694
BA3040       y        8.509180
BA2724       y        7.298726
BA2821       y        7.616076
BA2233       y        7.396354
BA2744       y        7.598087
BA2501       y        7.554110
BA2301       n        7.220421
BA2880       y        8.059727
BA2621       y        7.614845
BA2866       n        7.957659
BA2212       y        7.964221
BA2477       y        7.755101
BA2685       n        8.243017
BA2273       n        8.038841
BA2124       y        7.914270
BA2400       y        7.578342
BA2762       y        7.371035
BA2312       y        7.417029
BA2813       y        7.626832
BA2211       y        7.322179
BA2171       y        7.482761
BA2746       y        7.262382
BA2798       n        7.854864
BA2588       y        7.400175
BA2296       y        7.437299
BA2300       y        7.900375
BA2545       n        7.444440
BA2840       y        7.270225
BA2528       n        7.774440
BA2646       y        7.556337
BA2926       n        7.901919
BA2272       y        7.674935
BA2306       y        7.733326
BA2726       n        7.925265
BA2234       y        7.331640
BA2022       y        7.455713
BA2037       y        7.531975
BA2184       y        7.449514
BA3009       y        7.202313
BA2442       y        8.259748
BA2882       y        7.291628
BA2570       y        8.672544
BA2721       y        7.471117
BA2728       n        7.734622
BA2098       y        7.311272
BA2951       y        7.396354
BA2778       y        7.143032
