#Boxplots d'expressions du gène SMC1A en fonction de la feature manuscript_inhibitor
#Résultat du test statistique Mann-Whitney : U = 22594.000, p-value = 0.01009
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409     yes        6.965673
BA2496     yes        6.811458
BA3037     yes        5.335032
BA2865     yes        6.648075
BA2751     yes        6.400255
BA2286     yes        6.461847
BA2488     yes        6.932195
BA3379     yes        6.563269
BA2887     yes        6.582538
BA2712      no        7.224594
BA2068     yes        5.814425
BA2104      no        6.255346
BA3124      no        6.568904
BA2449     yes        6.366490
BA2235     yes        6.736925
BA3038     yes        6.946889
BA3006     yes        6.805454
BA2667     yes        6.595194
BA2239     yes        6.802992
BA2782      no        6.541508
BA2649     yes        7.362524
BA2861     yes        7.081484
BA2134      no        6.478662
BA2909     yes        6.315858
BA2653      no        6.603683
BA2947     yes        5.843531
BA2162      no        6.135972
BA2564      no        7.520821
BA2597     yes        5.719504
BA3243     yes        6.319473
BA2446     yes        8.051153
BA2525     yes        5.894403
BA2876      no        5.197686
BA2357     yes        6.376443
BA2546     yes        6.785508
BA2742     yes        7.021254
BA2316      no        6.926931
BA2087     yes        6.112517
BA2148     yes        5.273594
BA3178      no        6.811458
BA2072     yes        7.587599
BA2733      no        6.291818
BA2995     yes        5.196991
BA2069     yes        7.563211
BA2681      no        7.173585
BA2832     yes        6.630588
BA2600      no        5.828970
BA3230     yes        7.572514
BA2731     yes        5.871393
BA2294     yes        6.576701
BA2816      no        6.137679
BA2814     yes        7.117386
BA2631     yes        6.444694
BA2023      no        6.671731
BA2375      no        6.776057
BA2485      no        6.661190
BA2455      no        6.227619
BA2636     yes        5.895604
BA2325      no        6.816896
BA2156     yes        6.680708
BA2511     yes        5.967846
BA2505      no        5.466284
BA2871      no        6.788651
BA2227      no        6.288654
BA2812     yes        6.772460
BA2125      no        8.009529
BA2603     yes        5.337219
BA2808      no        5.675831
BA2482      no        6.600510
BA2594     yes        6.976628
BA2747     yes        5.846310
BA2561      no        6.237084
BA2567      no        5.098923
BA2906      no        7.266694
BA2956     yes        5.924325
BA2474     yes        6.746126
BA2737     yes        6.132490
BA2110     yes        6.810862
BA2992     yes        7.329669
BA2220     yes        7.473165
BA2063      no        5.285034
BA2772      no        5.988763
BA2935      no        6.153533
BA2260     yes        6.440324
BA2948      no        5.694879
BA3296     yes        6.485600
BA2524     yes        6.330028
BA2811      no        6.884921
BA2540     yes        6.728768
BA2928      no        8.172322
BA2302     yes        5.460372
BA2651     yes        5.711381
BA2619      no        7.157984
BA3013      no        7.386670
BA2405      no        5.910072
BA2856      no        4.673540
BA2377     yes        6.592031
BA2499     yes        5.810077
BA3023      no        6.339185
BA2095     yes        7.573656
BA2275      no        7.295991
BA2901     yes        5.857340
BA2387     yes        6.696930
BA2962     yes        7.103806
BA2195     yes        6.330929
BA2688      no        5.844688
BA2420      no        6.644646
BA2053     yes        5.319029
BA2081      no        7.596945
BA2354     yes        6.552856
BA3273     yes        5.130881
BA2893     yes        6.544084
BA2044      no        7.085217
BA2489     yes        5.686468
BA2908      no        4.379677
BA2054      no        7.127388
BA2872     yes        7.396354
BA2041      no        7.251762
BA2464      no        6.622456
BA2902      no        5.124205
BA2541     yes        6.733454
BA2843     yes        5.191610
BA2497     yes        7.337051
BA2718     yes        6.548755
BA2575     yes        7.225431
BA2593     yes        5.576399
BA2791     yes        5.725563
BA2620     yes        6.336008
BA2629     yes        6.229897
BA2870      no        7.436309
BA2682      no        6.453001
BA2276      no        6.347830
BA2709     yes        6.668369
BA2789     yes        7.189831
BA2538      no        5.290823
BA2583     yes        6.427186
BA2806     yes        6.031110
BA2441     yes        6.651878
BA2514     yes        6.439836
BA2520     yes        5.492150
BA2479      no        5.872203
BA2281      no        6.633834
BA2932     yes        6.588361
BA2123      no        7.079949
BA2844     yes        6.488037
BA2660     yes        7.150786
BA2836     yes        5.495849
BA2714     yes        6.884307
BA2440     yes        6.424790
BA2036     yes        7.306760
BA2828      no        6.081488
BA2952     yes        7.622059
BA2410      no        5.980544
BA2139     yes        6.853942
BA2051      no        5.321988
BA2532     yes        5.703355
BA2494      no        5.727549
BA2748     yes        7.368168
BA2622      no        6.445175
BA2970     yes        6.292688
BA2839     yes        5.376018
BA2868     yes        6.030245
BA3011     yes        5.585299
BA2052     yes        5.980544
BA2510      no        6.019124
BA2691      no        6.316324
BA2374      no        7.933522
BA2804     yes        7.408050
BA2675     yes        6.753097
BA2031     yes        7.728095
BA2198      no        7.081484
BA2066     yes        7.847345
BA2344     yes        7.209736
BA2459      no        6.156510
BA2229     yes        5.684167
BA2559     yes        6.388374
BA2093     yes        6.592031
BA2000     yes        8.374098
BA2425     yes        7.193125
BA2905      no        5.485393
BA2304     yes        7.335298
BA2976     yes        6.819477
BA2386     yes        5.690280
BA2035     yes        6.515021
BA2760      no        6.102773
BA2201     yes        7.166329
BA2355      no        5.940600
BA2113     yes        8.505291
BA2955     yes        7.057219
BA2322     yes        7.304963
BA2020      no        7.647789
BA2226     yes        7.319378
BA2376     yes        6.634863
BA2121     yes        7.342780
BA2944     yes        6.736925
BA2033     yes        5.965056
BA2867     yes        5.969878
BA2089     yes        7.302256
BA2224      no        6.685937
BA2046      no        5.657511
BA2972     yes        6.523755
BA2978     yes        7.321216
BA2851     yes        7.076261
BA2587      no        7.275551
BA2024      no        6.500544
BA2426      no        6.728768
BA2271     yes        6.777209
BA3004     yes        6.904231
BA3010     yes        6.830873
BA2662     yes        8.298209
BA2658     yes        6.511051
BA2512     yes        7.291628
BA2109     yes        6.033223
BA2242     yes        5.912828
BA2132     yes        6.543071
BA2846      no        6.632258
