#Boxplots d'expressions du gène SMC1A en fonction de la feature priorMDS
#Résultat du test statistique Mann-Whitney : U = 8635.000, p-value = 0.02679
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       n        0.060559
BA2496       n        0.046385
BA3037       n        0.013556
BA2865       n        0.031531
BA2751       n        0.031931
BA2055       n        0.005277
BA2286       n        0.034921
BA2488       n        0.047374
BA3379       n        0.035493
BA2887       n        0.044992
BA2712       n        0.050475
BA2068       n        0.020789
BA2104       n        0.030495
BA3124       n        0.024473
BA2449       n        0.034296
BA2235       n        0.053202
BA3038       n        0.056264
BA3006       n        0.041977
BA2667       n        0.040233
BA2239       n        0.041268
BA2782       n        0.035552
BA2649       n        0.065191
BA2861       n        0.053813
BA2134       n        0.039833
BA2909       n        0.033402
BA2653       n        0.038340
BA2947       n        0.027608
BA2162       n        0.038833
BA2564       n        0.063020
BA3043       n        0.033911
BA2597       y        0.014230
BA3243       n        0.033416
BA2446       n        0.097560
BA2525       n        0.018273
BA2876       n        0.010110
BA2357       n        0.030547
BA2546       n        0.048607
BA2742       n        0.045893
BA2316       n        0.043790
BA2087       n        0.021313
BA2148       n        0.012998
BA3178       n        0.039152
BA2072       n        0.071126
BA2733       n        0.024644
BA2995       n        0.014780
BA2069       n        0.075607
BA2681       n        0.059680
BA2832       n        0.040022
BA2600       n        0.022352
BA3230       n        0.064715
BA2731       n        0.021382
BA2294       n        0.035999
BA2816       n        0.027134
BA2814       n        0.059083
BA2631       n        0.035963
BA2023       n        0.040221
BA2375       n        0.039500
BA2485       n        0.034786
BA2455       n        0.025099
BA2636       y        0.019633
BA2325       n        0.047745
BA2156       n        0.040881
BA2511       n        0.015649
BA2505       n        0.013642
BA2871       n        0.037265
BA2227       n        0.024144
BA2812       n        0.035429
BA2125       n        0.076719
BA2603       n        0.016150
BA2808       n        0.016225
BA2482       n        0.044428
BA2594       n        0.049597
BA2747       n        0.023432
BA2561       n        0.020524
BA2567       n        0.007577
BA2906       n        0.069502
BA2956       n        0.015996
BA2474       n        0.039604
BA2737       n        0.022154
BA2006       n        0.003217
BA2110       n        0.035597
BA2915       n        0.002353
BA2992       n        0.057764
BA2220       n        0.069360
BA2063       n        0.013256
BA2772       n        0.018542
BA2935       n        0.025495
BA2260       n        0.025544
BA2948       y        0.015928
BA3296       n        0.030167
BA2524       n        0.030705
BA2811       n        0.046618
BA2540       n        0.038042
BA2928       n        0.113856
BA2302       n        0.013991
BA2651       n        0.017717
BA2619       n        0.062848
BA3013       n        0.057421
BA2405       n        0.019371
BA2856       n        0.004449
BA2377       n        0.037871
BA2499       y        0.017694
BA2350       n        0.018242
BA3023       n        0.034253
BA2095       n        0.075557
BA2275       n        0.057081
BA2901       n        0.019936
BA2387       n        0.047520
BA2962       n        0.053172
BA2195       y        0.028304
BA2688       n        0.023590
BA2420       n        0.039714
BA2053       n        0.011366
BA2081       n        0.077532
BA2354       n        0.036505
BA3273       n        0.009476
BA2893       n        0.035377
BA2044       n        0.063704
BA2489       y        0.015398
BA2908       n        0.008478
BA2054       n        0.047758
BA2872       n        0.073118
BA2041       n        0.052577
BA2464       n        0.037881
BA2902       n        0.011202
BA2541       n        0.041533
BA2843       n        0.011756
BA2497       n        0.066948
BA2718       n        0.041742
BA2575       n        0.063566
BA2593       n        0.007404
BA2791       n        0.020688
BA2620       n        0.030039
BA2629       n        0.045526
BA2870       y        0.072590
BA2682       n        0.029439
BA2276       n        0.030508
BA2709       n        0.045901
BA2789       n        0.051816
BA2538       n        0.011728
BA2583       n        0.037769
BA2806       n        0.022547
BA2441       y        0.038618
BA2514       n        0.022203
BA2520       n        0.017128
BA2479       n        0.014123
BA2281       n        0.039870
BA2932       n        0.037943
BA2123       n        0.041341
BA2844       n        0.024873
BA2660       n        0.058237
BA2836       n        0.012514
