#Boxplots d'expressions du gène SRSF2 en fonction de la feature inferred_sex
#Résultat du test statistique ANOVA : F = 3.670, p-value = 0.02623
#Tableau des résultats :
Sample     Feature  ExpressionGene
BA2409      Female        0.814507
BA2496        Male        0.807803
BA3037      Female        0.529999
BA2865      Female        0.969401
BA2751        Male        1.041534
BA2055        Male        0.701399
BA2286        Male        0.836209
BA2488      Female        1.040499
BA3379        Male        1.008861
BA2887        Male        0.953132
BA2712      Female        1.107641
BA2068      Female        2.458098
BA2104        Male        0.348384
BA3124      Female        0.773398
BA2449      Female        0.697452
BA2235      Female        0.933224
BA3038        Male        0.757828
BA3006      Female        1.444914
BA2667        Male        0.719166
BA2239        Male        0.649582
BA2782        Male        0.947328
BA2649      Female        1.710354
BA2861      Female        1.139600
BA2134        Male        0.711817
BA2909        Male        0.776207
BA2653      Female        0.923515
BA2947        Male        1.304762
BA2162        Male        1.203212
BA2564      Female        0.898313
BA3043        Male        0.878237
BA2597      Female        0.882706
BA3243        Male        1.019290
BA2446      Female        1.370693
BA2525      Female        0.803008
BA2876      Female        1.107565
BA2357        Male        1.122845
BA2546        Male        0.945448
BA2742        Male        0.888849
BA2316        Male        0.952368
BA2087      Female        1.017836
BA2148      Female        0.787174
BA3178        Male        1.090073
BA2072      Female        1.026195
BA2733      Female        1.078059
BA2995        Male        0.986762
BA2069        Male        1.486154
BA2681      Female        1.181369
BA2832        Male        1.209037
BA2600      Female        1.064537
BA3230      Female        1.012049
BA2731        Male        0.887264
BA2294        Male        1.370717
BA2816        Male        0.999690
BA2814        Male        0.991914
BA2631        Male        1.104250
BA2023        Male        0.994560
BA2375        Male        1.148853
BA2485        Male        0.874673
BA2455        Male        0.619357
BA2636        Male        1.008971
BA2325      Female        0.830692
BA2156        Male        1.121948
BA2511      Female        0.888649
BA2505        Male        0.914255
BA2871      Female        0.863214
BA2227        Male        1.814699
BA2812        Male        1.574604
BA2125      Female        1.095145
BA2603      Female        1.082228
BA2808        Male        0.932675
BA2482      Female        0.839783
BA2594        Male        1.207566
BA2747        Male        1.320069
BA2561        Male        1.733641
BA2567        Male        1.071517
BA2906        Male        1.209397
BA2956        Male        0.893360
BA2474      Female        0.777653
BA2737      Female        1.230700
BA2006      Female        0.570489
BA2110      Female        0.618702
BA2915      Female        1.116427
BA2992      Female        0.900534
BA2220        Male        1.817498
BA2063        Male        1.074388
BA2772        Male        0.820640
BA2935        Male        1.020053
BA2260        Male        0.979352
BA2948        Male        0.859581
BA3296        Male        0.829415
BA2524      Female        1.188685
BA2811      Female        1.131316
BA2540      Female        0.942677
BA2928      Female        1.350362
BA2302      Female        1.072189
BA2651      Female        0.846168
BA2619      Female        1.097255
BA3013        Male        1.529778
BA2405      Female        0.693370
BA2856        Male        0.825930
BA2377        Male        0.565720
BA2499        Male        0.819317
BA2350        Male        0.491815
BA3023      Female        1.208473
BA2095      Female        1.444237
BA2275        Male        1.281187
BA2901        Male        0.839546
BA2387      Female        1.230076
BA2962        Male        1.286901
BA2195      Female        1.183788
