#Boxplots d'expressions du gène TET2 en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 4.467, p-value = 0.00008
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       1        0.006315
BA2496       1        0.309845
BA3037       1        0.002533
BA2865       1        0.002356
BA2751       1        0.103632
BA2055       1        0.002202
BA2286       1        0.125764
BA2488       1        0.164556
BA3379       1        0.308614
BA2887       1        0.001996
BA2712       2        0.001404
BA2068       2        0.002979
BA2104       1        0.189897
BA3124       1        0.120333
BA2449       1        0.001248
BA2235       1        0.004257
BA3038       1        0.153163
BA3006       3        0.002531
BA2667       1        0.141859
BA2239       1        0.439824
BA2782       3        0.008033
BA2649       1        0.002147
BA2861       1        0.003011
BA2134       1        0.003722
BA2909       1        0.004296
BA2653       1        0.002980
BA2947       1        0.003606
BA2162       1        0.003632
BA2564       1        0.156148
BA3043       1        0.465082
BA2597       4        0.001820
BA3243       2        0.078463
BA2446       1        0.004511
BA2525       4        0.001802
BA2876       4        0.003534
BA2357       2        0.104845
BA2546       1        0.003040
BA2742       1        0.086848
BA2316       1        0.122877
BA2087       2        0.001869
BA2148       2        0.002730
BA3178       3        0.001285
BA2072       1        0.294647
BA2733       2        0.001518
BA2995       2        0.001296
BA2069       1        0.003814
BA2681       3        0.124931
BA2832       2        0.088323
BA2600       4        0.002669
BA3230       1        0.167861
BA2731       2        0.194831
BA2294       4        0.140472
BA2816       4        0.136696
BA2814       3        0.002915
BA2631       1        0.099080
BA2023       1        0.002753
BA2375       1        0.003049
BA2485       1        0.446191
BA2455       4        0.109229
BA2636       4        0.096953
BA2325       1        0.004764
BA2156       1        0.001837
BA2511       4        0.001690
BA2505       4        0.529275
BA2871       3        0.003099
BA2227       1        0.003429
BA2812       3        0.092419
BA2125       1        0.003357
BA2603       1        0.138642
BA2808       4        0.001830
BA2482       1        0.096157
BA2594       1        0.003314
BA2747       4        0.105416
BA2561       3        0.097775
BA2567       3        0.615450
BA2906       1        0.003044
BA2956       2        0.001391
BA2474       1        0.002947
BA2737       2        0.000988
BA2006       2        0.007281
BA2110       1        0.005547
BA2915       4        0.000339
BA2992       4        0.001912
BA2220       1        0.002074
BA2063       2        0.002090
BA2772       2        0.001885
BA2935       4        0.102146
BA2260       3        0.003274
BA2948       3        0.002233
BA3296       1        0.238677
BA2524       4        0.002781
BA2811       1        0.001253
BA2540       4        0.001899
BA2928       1        0.001646
BA2302       4        0.232326
BA2651       4        0.001509
BA2619       1        0.145584
BA3013       4        0.001562
BA2405       3        0.001136
BA2856       3        0.001509
BA2377       2        0.050097
BA2499       2        0.001183
BA2350       2        0.105041
BA3023       4        0.107355
BA2095       1        0.001572
BA2275       1        0.004792
BA2901       2        0.140915
BA2387       1        0.002169
BA2962       1        0.001529
BA2195       4        0.002420
BA2688       2        0.001139
BA2420       1        0.002279
BA2053       2        0.001621
BA2081       1        0.003170
BA2354       1        0.003397
BA3273       2        0.060517
BA2893       3        0.093940
BA2044       1        0.100786
BA2489       2        0.001372
BA2908       1        0.002114
BA2054       3        0.082081
BA2872       1        0.003516
BA2041       2        0.001788
BA2464       1        0.095415
BA2902       4        0.088356
BA2541       1        0.124148
BA2843       4        0.000539
BA2497       1        0.250903
BA2718       1        0.002505
BA2575       1        0.145808
BA2593       3        0.001485
BA2791       2        0.162910
BA2620       1        0.740397
BA2629       1        0.002396
BA2870       1        0.188537
BA2682       4        0.247441
BA2276       2        0.003230
BA2709       2        0.003061
BA2789       1        0.625032
BA2538       2        0.001347
BA2583       5        0.098618
BA2806       2        0.545780
BA2441       1        0.004905
BA2514       2        0.000963
BA2520       5        0.001474
BA2479       5        0.103405
BA2281       1        0.104932
BA2932       1        0.093117
BA2123       2        0.001242
BA2844       2        0.001349
BA2660       1        0.002198
BA2836       2        0.262351
BA2714       1        0.169111
BA2440       5        0.000908
BA2036       3        0.548678
BA2828       1        0.367308
BA2952       1        0.302085
BA2410       2        0.450996
BA2139       3        0.113649
BA2051       5        0.086088
BA2532       2        0.001859
BA2494       5        0.001407
BA2748       1        0.127543
BA2622       1        0.320610
BA2970       2        0.086723
BA2839       2        0.167820
BA2868       3        0.282114
BA3011       1        0.401427
BA2052       2        0.074736
BA2510       5        0.001451
BA2691       1        0.420457
BA2374       1        0.003394
BA2804       5        0.001644
BA2675       1        0.108098
BA2031       1        0.154784
BA2198       3        0.002844
BA2066       1        0.063732
BA2344       3        0.096390
BA2459       2        0.001397
BA2229       5        0.002040
BA2559       5        0.002649
BA2093       1        0.002378
BA2000       3        0.003894
BA2425       1        0.005609
BA2905       5        0.101688
BA2304       3        0.004165
BA2976       1        0.006819
BA2386       2        0.074181
BA2035       1        0.002735
BA2760       5        0.003529
BA2201       1        0.150628
BA2355       5        0.001750
BA2113       1        0.005797
BA2955       1        0.208687
BA2322       1        0.007615
BA2020       3        0.005171
BA2226       1        0.007734
BA2376       1        0.137640
BA2889       1        0.000000
BA2121       1        0.006973
BA2944       3        0.003208
BA2033       5        0.002154
BA2867       2        0.004963
BA2089       1        0.065646
BA2224       1        0.191891
BA2046       2        0.001957
BA2972       1        0.004305
BA2978       1        0.085198
BA2851       1        0.003597
BA2587       1        0.007490
BA2024       1        0.008975
BA2426       5        0.005207
BA2271       1        0.284297
BA3004       1        0.008534
BA3010       6        0.004682
BA2662       1        0.006513
BA2658       1        0.005988
BA2512       3        0.008765
BA2109       1        0.002584
BA2242       1        0.004090
BA2132       6        0.002914
BA2846       1        0.005726
BA2521       1        0.072429
BA2885       1        0.083204
BA2639       1        0.003654
BA2775       3        0.004784
BA2402       1        0.127136
BA2097       4        0.001596
BA2399       2        0.002008
BA2174       1        0.104160
BA3001       1        0.002520
BA2911       1        0.190372
BA2311       2        0.005299
BA3040       4        0.004549
BA2724       2        0.003990
BA2821       1        0.002930
BA2233       4        0.003538
BA2744       1        0.002943
BA2501       3        0.069072
BA2301       5        0.005196
BA2880       5        0.083132
BA2621       6        0.004502
BA2866       4        0.001887
BA2212       2        0.001608
BA2477       1        0.003734
BA2685       6        0.001586
BA2273       6        0.126603
BA2124       3        0.191703
BA2400       1        0.150798
BA2762       2        0.002524
BA2312       3        0.002760
BA2813       5        0.003048
BA2211       1        0.003991
BA2171       1        0.004270
BA2746       5        0.006656
BA2798       6        0.001180
BA2588       1        0.210976
BA2296       1        0.453060
BA2300       3        0.004267
BA2545       1        0.005508
BA2840       1        0.127827
BA2528       1        0.108522
BA2646       1        0.105245
BA3067       1        0.002848
BA2926       3        0.080309
BA2272       1        0.119335
BA2306       6        0.081520
BA2726       1        0.092786
BA2234       1        0.325915
BA2022       3        0.003564
BA2037       1        0.075792
BA2184       1        0.050352
BA3009       1        0.129469
BA2442       3        0.002750
BA2882       1        0.118929
BA2347       6        0.003434
BA2570       2        0.001567
BA2721       1        0.003654
BA2728       1        0.004988
BA2098       1        0.003179
BA2951       3        0.002713
BA2778       1        0.005570
BA3153       5        0.171316
BA2820       1        0.215456
BA2704       1        0.323506
BA2584       3        0.002804
BA3079       3        0.177967
BA2361       5        0.003260
BA2472       2        0.003667
BA2047       1        0.073417
BA2101       1        0.003007
BA2082       2        0.002352
BA2456       2        0.002888
BA2175       2        0.000616
BA2507       5        0.001399
BA2563       3        0.004590
BA2984       1        0.006060
BA2414       5        0.004491
BA2697       3        0.006782
BA2644       3        0.006784
BA2011       3        0.003848
BA2217       1        0.002957
BA2454       2        0.002071
BA2776       1        0.087030
BA2135       6        0.001362
BA2914       1        0.126948
BA2500       1        0.008154
BA3108       1        0.075127
BA2303       3        0.004455
BA2160       3        0.276687
BA2590       5        0.077029
BA3195       5        0.002158
BA3036       2        0.002672
BA2971       6        0.004388
BA3410       8        0.002340
BA3118       2        0.002127
BA3206       1        0.002818
BA3217       5        0.002335
BA3405       3        0.221793
BA3306       5        0.000877
BA3413       3        0.002035
BA3411       1        0.094345
BA3133       1        0.161693
BA3451       1        0.005897
BA3286       1        0.075762
BA3212       1        0.001939
BA3103       2        0.076104
BA3271       1        0.101249
BA3152       1        0.005388
BA3095       1        0.002286
BA3251       5        0.079509
BA3362       1        0.002534
BA3135       8        0.001716
BA3408       8        0.002426
BA3098       3        0.003506
BA3435       1        0.002708
BA3261       1        0.160049
BA3203       6        0.001176
BA3299       6        0.002166
BA3347       5        0.154801
BA3126       1        0.291912
BA3418       8        0.000408
BA3245       5        0.002144
BA3085       1        0.153643
BA3171       1        0.003548
BA3277       5        0.264122
BA3157       1        0.002785
BA3433       5        0.002988
BA3374       1        0.134160
BA3450       7        0.001235
BA3167       2        0.311271
BA3269       5        0.071080
BA3110       2        0.000172
BA3156       8        0.002357
BA3226       1        0.131657
BA3421       5        0.002088
BA3232       1        0.184427
BA3289       5        0.100308
BA3430       5        0.003224
BA3384       1        0.224909
BA3427       1        0.127220
BA3449       8        0.001125
BA3163       1        0.176492
BA3158       3        0.211339
BA3436       1        0.083328
BA3154       7        0.000990
BA3162       2        0.123809
BA3352       2        0.101902
BA3084       1        0.090562
BA3149       5        0.158594
BA3169       5        0.001493
BA3180       5        0.002939
BA3255       1        0.078355
BA3438       1        0.173772
BA3345       8        0.172954
BA3431       7        0.134325
BA3181       8        0.174040
BA3341       2        0.082047
BA3191       1        0.091841
BA3197       1        0.091505
BA3448       1        0.217898
BA3453       5        0.001226
BA3406       3        0.003588
BA3334       2        0.123479
BA3447       7        0.000760
BA3116       5        0.079385
BA3280       5        0.084022
BA3185       5        0.143125
BA3094       1        0.110786
BA3318       2        0.001482
BA3216       5        0.123319
BA3332       7        0.055326
BA3373       1        0.171043
BA3319       1        0.363476
BA3328       1        0.274616
BA3240       1        0.186056
BA3142       1        0.269536
BA3333       5        0.277704
BA3381       1        0.163914
BA3290       1        0.235728
BA3207       1        0.268677
BA3305       5        0.274534
BA3434       1        0.380484
BA3189       1        0.058175
BA3264       1        0.150112
BA3329       5        0.152678
BA3225       1        0.250186
BA3397       1        0.259729
BA3311       1        0.312071
BA3422       5        0.190003
BA3213       5        0.086763
BA3415       1        0.057322
BA3270       1        0.391717
BA3324       1        0.328592
BA3335       5        0.063045
BA3199       5        0.001830
BA3326       5        0.096078
BA3297       1        0.266863
BA3227       1        0.238253
BA3412       1        0.183648
BA3250       1        0.005143
BA3177       1        0.113209
BA3315       1        0.487568
BA3182       1        0.393643
BA3369       1        0.188258
BA3078       1        0.520131
BA3386       1        0.110725
BA3176       1        0.068518
BA3258       1        0.410925
BA3295       1        0.351230
BA3136       1        0.215134
BA3234       1        0.348379
BA3087       1        0.000000
BA3454       1        0.189526
BA3302       1        0.077453
BA3117       1        0.214425
BA3266       1        0.282687
BA3268       1        0.003580
