#Boxplots d'expressions du gène TET2 en fonction de la feature isDenovo
#Résultat du test statistique ANOVA : F = 6.178, p-value = 0.00226
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409    TRUE        6.515021
BA2496   FALSE        6.502488
BA3037   FALSE        6.783746
BA2865    TRUE        5.569315
BA2751    TRUE        5.878514
BA2286    TRUE        5.560000
BA2488   FALSE        6.163915
BA3379    TRUE        5.530586
BA2887    TRUE        5.504266
BA2712   FALSE        5.598518
BA2068    TRUE        6.637078
BA2104   FALSE        6.743909
BA3124    TRUE        5.173810
BA2449    TRUE        6.248198
BA2235    TRUE        6.013323
BA3038    TRUE        6.519178
BA3006    TRUE        5.630935
BA2667   FALSE        5.751785
BA2239    TRUE        6.605790
BA2782    TRUE        6.705313
BA2649    TRUE        5.218515
BA2861    TRUE        5.816486
BA2134   FALSE        6.264750
BA2909    TRUE        6.388374
BA2653    TRUE        5.523185
BA2947    TRUE        5.526494
BA2162    TRUE        5.889202
BA2564    TRUE        6.479659
BA2597   FALSE        6.227619
BA3243    TRUE        6.465284
BA2446   FALSE        6.003473
BA2525    TRUE        5.253853
BA2876    TRUE        6.126379
BA2357    TRUE        5.614051
BA2546    TRUE        5.421251
BA2742    TRUE        6.524779
BA2316    TRUE        6.345485
BA2087    TRUE        5.611374
BA2148    TRUE        6.058712
BA3178    TRUE        5.020563
BA2072    TRUE        6.283736
BA2733    TRUE        5.953169
BA2995   FALSE        5.886062
BA2069    TRUE        6.010467
BA2681   FALSE        5.940600
BA2832   FALSE        5.752638
BA2600    TRUE        6.201863
BA3230    TRUE        5.893203
BA2731    TRUE        6.925594
BA2294    TRUE        5.875402
BA2816    TRUE        5.972010
BA2814   FALSE        5.983861
BA2631    TRUE        5.998906
BA2023    TRUE        5.886062
BA2375   FALSE        4.916171
BA2485    TRUE        6.260333
BA2455    TRUE        6.306953
BA2636   FALSE        6.225453
BA2325    TRUE        6.555500
BA2156   FALSE        5.087589
BA2511    TRUE        5.745108
BA2505    TRUE        6.068435
BA2871    TRUE        5.691816
BA2227    TRUE        5.978121
BA2812    TRUE        6.538413
BA2125   FALSE        5.551704
BA2603    TRUE        6.129041
BA2808    TRUE        5.329202
BA2482    TRUE        6.087497
BA2594   FALSE        5.977334
BA2747    TRUE        5.585299
BA2561    TRUE        6.200505
BA2567    TRUE        6.196470
BA2906   FALSE        5.526855
BA2956    TRUE        5.835228
BA2474    TRUE        5.705301
BA2737   FALSE        5.370850
BA2110    TRUE        7.004906
BA2992    TRUE        6.264750
BA2220   FALSE        5.273936
BA2063    TRUE        5.065278
BA2772    TRUE        6.646840
BA2935    TRUE        6.467774
BA2260    TRUE        6.278268
BA2948   FALSE        5.961420
BA3296   FALSE        6.550772
BA2524    TRUE        6.319914
BA2811    TRUE        4.878689
BA2540    TRUE        6.626848
BA2928    TRUE        5.172767
BA2302   FALSE        5.506457
BA2651    TRUE        6.068013
BA2619    TRUE        4.954368
BA3013    TRUE        5.898407
BA2405    TRUE        5.042101
BA2856    TRUE        6.293153
BA2377    TRUE        6.292251
BA2499   FALSE        5.450895
BA3023    TRUE        6.389795
BA2095    TRUE        5.323759
BA2275   FALSE        5.457840
BA2901   FALSE        6.248644
BA2387   FALSE        5.416097
BA2962    TRUE        5.500924
BA2195   FALSE        6.255346
BA2688    TRUE        5.370496
BA2420    TRUE        5.120271
BA2053    TRUE        5.988353
BA2081    TRUE        5.898785
BA2354    TRUE        5.750230
BA3273    TRUE        5.174910
BA2893    TRUE        6.301424
BA2044    TRUE        5.480594
BA2489   FALSE        6.036927
BA2908    TRUE        5.322335
BA2054    TRUE        6.617532
BA2872   FALSE        6.073499
BA2041    TRUE        6.003473
BA2464    TRUE        5.827401
BA2902   FALSE        6.421895
BA2541    TRUE        6.166974
BA2843    TRUE        5.081888
BA2497    TRUE        6.723551
BA2718    TRUE        5.479095
BA2575    TRUE        6.601569
BA2593    TRUE        5.054337
BA2791    TRUE        6.365130
BA2620    TRUE        6.189050
BA2629    TRUE        4.314428
BA2870   FALSE        5.201166
BA2682    TRUE        6.348781
BA2276    TRUE        6.405499
BA2709    TRUE        6.429540
BA2789   FALSE        6.199666
BA2538   FALSE        5.626072
BA2583   FALSE        5.923147
BA2806    TRUE        5.611760
BA2441   FALSE        5.528401
BA2514   FALSE        5.763317
BA2520   FALSE        4.893432
BA2479    TRUE        5.142996
BA2281    TRUE        5.011833
BA2932    TRUE        5.686097
BA2123    TRUE        5.848649
BA2844    TRUE        6.196901
BA2660    TRUE        5.404820
BA2836    TRUE        6.086219
BA2714    TRUE        5.956842
BA2440    TRUE        5.297340
BA2036    TRUE        6.670025
BA2828   FALSE        5.934109
BA2952    TRUE        5.802608
BA2410    TRUE        6.807281
BA2139    TRUE        6.546665
BA2051    TRUE        6.626848
BA2532   FALSE        6.308413
BA2494   FALSE        5.561851
BA2748    TRUE        5.917586
BA2622   FALSE        6.251792
BA2970   FALSE        6.471822
BA2839   FALSE        6.682426
BA2868    TRUE        5.718758
BA3011    TRUE        6.663986
BA2052    TRUE        5.117824
BA2510    TRUE        6.036533
BA2691   FALSE        6.122619
BA2374    TRUE        5.780399
BA2804   FALSE        6.344121
BA2675    TRUE        5.596998
BA2031    TRUE        5.479854
BA2198    TRUE        5.528771
BA2066    TRUE        6.105806
BA2344   FALSE        5.970320
BA2459    TRUE        6.590418
BA2229   FALSE        5.242915
BA2559    TRUE        6.294106
BA2093    TRUE        5.271079
BA2000    TRUE        6.162297
BA2425    TRUE        6.438825
BA2905   FALSE        5.465210
BA2304   FALSE        6.479152
BA2976   FALSE        6.195633
BA2386    TRUE        6.532500
BA2035    TRUE        6.193455
BA2760    TRUE        6.279632
BA2201    TRUE        6.424790
BA2355   FALSE        5.844688
BA2113    TRUE        6.283283
BA2955    TRUE        6.469283
BA2322    TRUE        6.493524
BA2020    TRUE        5.820387
BA2226    TRUE        6.477153
BA2376    TRUE        6.787391
BA2121    TRUE        6.536463
BA2944    TRUE        5.467341
BA2033   FALSE        5.950361
BA2867   FALSE        5.991127
BA2089   FALSE        6.148895
BA2224   FALSE        6.148463
BA2046    TRUE        5.889202
BA2972    TRUE        6.124733
BA2978    TRUE        6.556613
BA2851    TRUE        5.436219
BA2587   FALSE        6.280520
BA2024    TRUE        6.699733
BA2426   FALSE        6.651878
BA2271    TRUE        6.467310
BA3004    TRUE        6.324522
BA3010   FALSE        6.299624
BA2662    TRUE        6.461362
BA2658    TRUE        6.244572
BA2512    TRUE        6.657378
BA2109    TRUE        6.581424
BA2242    TRUE        6.145472
BA2132    TRUE        6.407376
BA2846   FALSE        6.625214
BA2521    TRUE        5.979312
BA2885   FALSE        6.068855
BA2639    TRUE        5.775288
BA2775    TRUE        6.599996
BA2402   FALSE        6.040669
BA2097   FALSE        5.379287
BA2399    TRUE        5.896464
BA2174   FALSE        6.422339
BA3001    TRUE        5.446039
BA2911   FALSE        5.336107
BA2311    TRUE        6.875893
BA3040    TRUE        6.314442
BA2724    TRUE        6.856406
BA2821    TRUE        5.770331
BA2233    TRUE        6.505982
BA2744   FALSE        6.724663
BA2501    TRUE        6.009212
BA2301    TRUE        6.759460
BA2880   FALSE        6.502972
BA2621    TRUE        6.747271
BA2866    TRUE        5.433663
BA2212   FALSE        5.569315
BA2477    TRUE        5.950361
BA2685   FALSE        5.595081
BA2273   FALSE        5.241409
BA2124   FALSE        7.306760
BA2400    TRUE        6.625786
BA2762    TRUE        6.074380
BA2312    TRUE        6.014989
BA2813   FALSE        6.437392
BA2211    TRUE        6.240132
BA2171    TRUE        6.351641
BA2746    TRUE        6.999254
BA2798   FALSE        5.664001
BA2588    TRUE        6.957516
BA2296    TRUE        6.337806
BA2300    TRUE        6.007604
BA2545   FALSE        6.078175
BA2840   FALSE        5.994798
BA2528    TRUE        6.257620
BA2646    TRUE        5.741663
BA2926    TRUE        5.921923
BA2272    TRUE        6.473760
BA2306    TRUE        6.304181
BA2726   FALSE        5.761410
BA2234   FALSE        6.709781
BA2022    TRUE        5.684167
BA2037    TRUE        5.582338
BA2184    TRUE        5.836404
BA3009    TRUE        5.489510
BA2442    TRUE        5.728668
BA2882   FALSE        6.531994
BA2570    TRUE        6.040669
BA2721   FALSE        6.251357
BA2728   FALSE        6.262497
BA2098    TRUE        5.483212
BA2951   FALSE        5.937770
BA2778    TRUE        7.215425
BA3153    TRUE        6.576136
BA2820   FALSE        6.390273
BA2704    TRUE        5.947572
