#Boxplots d'expressions du gène TET2 en fonction de la feature manuscript_inhibitor
#Résultat du test statistique Mann-Whitney : U = 23094.000, p-value = 0.01862
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409     yes        0.006315
BA2496     yes        0.309845
BA3037     yes        0.002533
BA2865     yes        0.002356
BA2751     yes        0.103632
BA2055     yes        0.002202
BA2286     yes        0.125764
BA2488     yes        0.164556
BA3379     yes        0.308614
BA2887     yes        0.001996
BA2712      no        0.001404
BA2068     yes        0.002979
BA2104      no        0.189897
BA3124      no        0.120333
BA2449     yes        0.001248
BA2235     yes        0.004257
BA3038     yes        0.153163
BA3006     yes        0.002531
BA2667     yes        0.141859
BA2239     yes        0.439824
BA2782      no        0.008033
BA2649     yes        0.002147
BA2861     yes        0.003011
BA2134      no        0.003722
BA2909     yes        0.004296
BA2653      no        0.002980
BA2947     yes        0.003606
BA2162      no        0.003632
BA2564      no        0.156148
BA3043      no        0.465082
BA2597     yes        0.001820
BA3243     yes        0.078463
BA2446     yes        0.004511
BA2525     yes        0.001802
BA2876      no        0.003534
BA2357     yes        0.104845
BA2546     yes        0.003040
BA2742     yes        0.086848
BA2316      no        0.122877
BA2087     yes        0.001869
BA2148     yes        0.002730
BA3178      no        0.001285
BA2072     yes        0.294647
BA2733      no        0.001518
BA2995     yes        0.001296
BA2069     yes        0.003814
BA2681      no        0.124931
BA2832     yes        0.088323
BA2600      no        0.002669
BA3230     yes        0.167861
BA2731     yes        0.194831
BA2294     yes        0.140472
BA2816      no        0.136696
BA2814     yes        0.002915
BA2631     yes        0.099080
BA2023      no        0.002753
BA2375      no        0.003049
BA2485      no        0.446191
BA2455      no        0.109229
BA2636     yes        0.096953
BA2325      no        0.004764
BA2156     yes        0.001837
BA2511     yes        0.001690
BA2505      no        0.529275
BA2871      no        0.003099
BA2227      no        0.003429
BA2812     yes        0.092419
BA2125      no        0.003357
BA2603     yes        0.138642
BA2808      no        0.001830
BA2482      no        0.096157
BA2594     yes        0.003314
BA2747     yes        0.105416
BA2561      no        0.097775
BA2567      no        0.615450
BA2906      no        0.003044
BA2956     yes        0.001391
BA2474     yes        0.002947
BA2737     yes        0.000988
BA2006     yes        0.007281
BA2110     yes        0.005547
BA2915      no        0.000339
BA2992     yes        0.001912
BA2220     yes        0.002074
BA2063      no        0.002090
BA2772      no        0.001885
BA2935      no        0.102146
BA2260     yes        0.003274
BA2948      no        0.002233
BA3296     yes        0.238677
BA2524     yes        0.002781
BA2811      no        0.001253
BA2540     yes        0.001899
BA2928      no        0.001646
BA2302     yes        0.232326
BA2651     yes        0.001509
BA2619      no        0.145584
BA3013      no        0.001562
BA2405      no        0.001136
BA2856      no        0.001509
BA2377     yes        0.050097
BA2499     yes        0.001183
BA2350     yes        0.105041
BA3023      no        0.107355
BA2095     yes        0.001572
BA2275      no        0.004792
BA2901     yes        0.140915
BA2387     yes        0.002169
BA2962     yes        0.001529
BA2195     yes        0.002420
BA2688      no        0.001139
BA2420      no        0.002279
BA2053     yes        0.001621
BA2081      no        0.003170
BA2354     yes        0.003397
BA3273     yes        0.060517
BA2893     yes        0.093940
BA2044      no        0.100786
BA2489     yes        0.001372
BA2908      no        0.002114
BA2054      no        0.082081
BA2872     yes        0.003516
BA2041      no        0.001788
BA2464      no        0.095415
BA2902      no        0.088356
BA2541     yes        0.124148
BA2843     yes        0.000539
