#Boxplots d'expressions du gène TP53 en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 29.235, p-value = 0.00000
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       1        6.724081
BA2496       1        6.455999
BA3037       1        4.292680
BA2865       1        7.340820
BA2751       1        7.226253
BA2286       1        7.033358
BA2488       1        6.287337
BA3379       1        7.104581
BA2887       1        6.982756
BA2712       2        5.930390
BA2068       2        5.895211
BA2104       1        6.264300
BA3124       1        6.492484
BA2449       1        5.899190
BA2235       1        7.047048
BA3038       1        6.430469
BA3006       3        7.352023
BA2667       1        7.162152
BA2239       1        6.928331
BA2782       3        6.188149
BA2649       1        7.308615
BA2861       1        7.217909
BA2134       1        6.389795
BA2909       1        6.007604
BA2653       1        6.649664
BA2947       1        7.054989
BA2162       1        5.666616
BA2564       1        6.336008
BA2597       4        5.300257
BA3243       2        6.799312
BA2446       1        7.026248
BA2525       4        5.333257
BA2876       4        4.873071
BA2357       2        5.739350
BA2546       1        5.980979
BA2742       1        6.877187
BA2316       1        6.923035
BA2087       2        6.182110
BA2148       2        4.525524
BA3178       3        7.168761
BA2072       1        6.817518
BA2733       2        5.015317
BA2995       2        5.646538
BA2069       1        7.490428
BA2681       3        6.475718
BA2832       2        6.542553
BA2600       4        5.113281
BA3230       1        6.639665
BA2731       2        5.437694
BA2294       4        7.273784
BA2816       4        6.359518
BA2814       3        6.732801
BA2631       1        7.210534
BA2023       1        6.663986
BA2375       1        7.079949
BA2485       1        7.514134
BA2455       4        6.169505
BA2636       4        5.632828
BA2325       1        6.084470
BA2156       1        7.781236
BA2511       4        5.132989
BA2505       4        6.064278
BA2871       3        3.822964
BA2227       1        6.513025
BA2812       3        6.403142
BA2125       1        6.908146
BA2603       1        6.971102
BA2808       4        0.227105
BA2482       1        6.565838
BA2594       1        6.532500
BA2747       4        6.910700
BA2561       3        6.720622
BA2567       3        4.614682
BA2906       1        7.191457
BA2956       2        4.652986
BA2474       1        6.877881
BA2737       2        5.173113
BA2110       1        5.891651
BA2992       4        6.005993
BA2220       1        7.239744
BA2063       2        5.233574
BA2772       2        5.690280
BA2935       4        5.806516
BA2260       3        6.269725
BA2948       3        4.295669
BA3296       1        5.458930
BA2524       4        5.167451
BA2811       1        6.820081
BA2540       4        5.602320
BA2928       1        7.624378
BA2302       4        4.463385
BA2651       4        5.033236
BA2619       1        6.364672
BA3013       4        7.353908
BA2405       3        5.171335
BA2856       3        4.894511
BA2377       2        6.152290
BA2499       2        5.572279
BA3023       4        5.593263
BA2095       1        7.288998
BA2275       1        5.909289
BA2901       2        5.903534
BA2387       1        7.463637
BA2962       1        7.257903
BA2195       4        5.634368
BA2688       2        5.565961
BA2420       1        7.474165
BA2053       2        5.625303
BA2081       1        7.128144
BA2354       1        6.911374
BA3273       2        2.902453
BA2893       3        7.048512
BA2044       1        7.417029
BA2489       2        5.075502
BA2908       1        7.228677
BA2054       3        5.681929
BA2872       1        5.577104
BA2041       2        5.974821
BA2464       1        6.874662
BA2902       4        5.400032
BA2541       1        7.194824
BA2843       4        4.893783
BA2497       1        6.425754
BA2718       1        7.565678
BA2575       1        6.390739
BA2593       3        6.626311
BA2791       2        5.768789
BA2620       1        6.673925
BA2629       1        7.492562
BA2870       1        7.746670
BA2682       4        6.062132
BA2276       2        6.232564
BA2709       2        6.183379
BA2789       1        7.340820
BA2538       2        5.065278
BA2583       5        6.377330
BA2806       2        6.086219
BA2441       1        7.448397
BA2514       2        5.004480
BA2520       5        5.865363
BA2479       5        5.294517
BA2281       1        6.877881
BA2932       1        7.705821
BA2123       2        6.396000
BA2844       2        6.356274
BA2660       1        6.840988
BA2836       2        4.586199
BA2714       1        6.821882
BA2440       5        2.381950
BA2036       3        6.858956
BA2828       1        5.937770
BA2952       1        7.144593
BA2410       2        4.874814
BA2139       3        6.241858
BA2051       5        3.742222
BA2532       2        4.899069
BA2494       5        4.885034
BA2748       1        7.407073
BA2622       1        6.519708
BA2970       2        5.247553
BA2839       2        4.570506
BA2868       3        6.993098
BA3011       1        5.496203
BA2052       2        6.022459
BA2510       5        6.437932
BA2691       1        6.068435
BA2374       1        7.006423
BA2804       5        6.345033
BA2675       1        7.102352
BA2031       1        7.109255
BA2198       3        7.254403
BA2066       1        7.269380
BA2344       3        7.462610
BA2459       2        5.713688
BA2229       5        5.405902
BA2559       5        5.629094
BA2093       1        5.510920
BA2000       3        7.171168
BA2425       1        5.858498
BA2905       5        5.493614
BA2304       3        6.023285
BA2976       1        6.467310
BA2386       2        5.526855
BA2035       1        7.128891
BA2760       5        5.414655
BA2201       1        7.072510
BA2355       5        4.415323
BA2113       1        6.948816
BA2955       1        6.526305
BA2322       1        6.325902
BA2020       3        7.562070
BA2226       1        6.742147
BA2376       1        6.660142
BA2121       1        6.938272
BA2944       3        7.406090
BA2033       5        4.425536
BA2867       2        5.444615
BA2089       1        6.378313
BA2224       1        5.988763
BA2046       2        5.086907
BA2972       1        6.652957
BA2978       1        6.172519
BA2851       1        6.665644
BA2587       1        6.824305
BA2024       1        6.167393
BA2426       5        5.907618
BA2271       1        6.571951
BA3004       1        7.277183
BA3010       6        6.407852
BA2662       1        7.004235
BA2658       1        6.516571
BA2512       3        6.366490
BA2109       1        4.734025
BA2242       1        6.344121
BA2132       6        5.448262
BA2846       1        6.093871
BA2521       1        7.026248
BA2885       1        6.595692
BA2639       1        7.293487
BA2775       3        6.544570
BA2402       1        5.836783
BA2097       4        5.891651
BA2399       2        6.879121
BA2174       1        6.495044
BA3001       1        7.672338
BA2911       1        6.663986
BA2311       2        5.985465
BA3040       4        7.437299
BA2724       2        4.954368
BA2821       1        7.098540
BA2233       4        5.473970
BA2744       1        7.526579
BA2501       3        6.480661
BA2301       5        5.090078
BA2880       5        5.898407
BA2621       6        5.396052
BA2866       4        6.729320
BA2212       2        5.344715
BA2477       1        7.253585
BA2685       6        6.066380
BA2273       6        5.752638
BA2124       3        7.572514
BA2400       1        6.909407
BA2762       2        5.589145
BA2312       3        5.951162
BA2813       5        6.428124
BA2211       1        7.494578
BA2171       1        7.001462
BA2746       5        5.855020
BA2798       6        5.255701
BA2588       1        6.606890
BA2296       1        7.145353
BA2300       3        4.238953
BA2545       1        6.565325
BA2840       1        5.991523
BA2528       1        6.842777
BA2646       1        6.613806
BA2926       3        7.050616
BA2272       1        6.710959
BA2306       6        6.694659
BA2726       1        6.044017
BA2234       1        6.573054
BA2022       3        7.029781
BA2037       1        7.618337
BA2184       1        7.341770
BA3009       1        6.280520
BA2442       3        6.369829
BA2882       1        6.001347
BA2570       2        5.927932
BA2721       1        6.906236
BA2728       1        6.766563
BA2098       1        6.831511
BA2951       3        6.993776
BA2778       1        6.404547
BA3153       5        4.741136
BA2820       1        7.013386
BA2704       1        7.369105
BA2584       3        6.883643
BA3079       3        4.257933
BA2361       5        4.259812
BA2472       2        5.491382
BA2047       1        6.606345
BA2101       1        5.994370
BA2082       2        5.057914
BA2456       2        5.437336
BA2175       2        4.040295
BA2507       5        6.686469
BA2563       3        7.428253
BA2984       1        6.403605
BA2414       5        7.551898
BA2697       3        5.661675
BA2644       3        6.826121
BA2011       3        4.743229
BA2217       1        7.746670
BA2454       2        7.371985
BA2776       1        8.253448
BA2135       6        6.029371
BA2914       1        6.702504
BA2500       1        6.002619
BA3108       1        7.721276
BA2303       3        6.443748
BA2160       3        7.449514
BA2590       5        7.016879
BA3195       5        6.182944
BA3036       2        6.442273
BA2971       6        4.619298
BA3410       8        4.947718
BA3118       2        5.092527
BA3206       1        7.216211
BA3217       5        6.777759
BA3405       3        6.902968
BA3306       5        5.916376
BA3413       3        7.303130
BA3411       1        6.865880
BA3133       1        2.646619
BA3451       1        6.455522
BA3286       1        7.053627
BA3212       1        7.409002
BA3103       2        4.767446
BA3271       1        6.801789
BA3152       1        6.371248
BA3095       1        7.003555
BA3251       5        6.078620
BA3362       1        6.850259
BA3135       8        5.352291
BA3408       8        5.268503
BA3098       3        7.183208
BA3435       1        6.607924
BA3261       1        7.014729
BA3203       6        1.687906
BA3299       6        5.129803
BA3347       5        5.767987
BA3126       1        5.901576
BA3418       8        5.610641
BA3245       5        4.441176
BA3085       1        6.475238
BA3171       1        4.945953
BA3277       5        4.949113
BA3157       1        7.395406
BA3433       5        4.887804
BA3374       1        6.834644
BA3450       7        4.214817
BA3167       2        6.130771
BA3269       5        4.062433
BA3110       2        5.898785
BA3156       8        7.728095
BA3226       1        7.246478
BA3421       5        5.493614
BA3232       1        7.268510
BA3289       5        5.339385
BA3430       5        5.351179
BA3384       1        7.137564
BA3427       1        5.796789
BA3449       8        7.006423
BA3163       1        6.008818
BA3158       3        7.193125
BA3436       1        7.511916
BA3154       7        4.174488
BA3162       2        5.225678
BA3352       2        6.670025
BA3084       1        7.298726
BA3149       5        4.704531
BA3169       5        4.864281
BA3180       5        5.238184
BA3255       1        6.944901
BA3438       1        6.618673
BA3345       8        5.139080
BA3431       7        4.443718
BA3181       8        5.949963
BA3341       2        3.949325
BA3191       1        6.517089
BA3197       1        7.194824
BA3448       1        7.382575
BA3453       5        5.093210
BA3406       3        6.328685
BA3334       2        5.400762
BA3447       7        6.281904
BA3116       5        5.218515
BA3280       5        4.924860
BA3185       5        4.911937
BA3094       1        6.041929
BA3318       2        4.355373
BA3216       5        5.772579
BA3332       7        5.990340
BA3373       1        7.416010
BA3319       1        6.201863
BA3328       1        6.407376
BA3240       1        6.904925
BA3142       1        6.028195
BA3333       5        5.969076
BA3381       1        6.573054
BA3290       1        5.785415
BA3207       1        6.051966
BA3305       5        5.958067
BA3434       1        6.565325
BA3189       1        6.564788
BA3264       1        6.590418
BA3329       5        6.369829
BA3225       1        5.738582
BA3397       1        5.682300
BA3311       1        5.592123
BA3422       5        5.380797
BA3213       5        6.134616
BA3415       1        3.139349
BA3270       1        6.160926
BA3324       1        6.241009
BA3335       5        4.798375
BA3199       5        7.136714
BA3326       5        6.306508
BA3297       1        7.074052
BA3227       1        7.526579
BA3412       1        6.631706
BA3250       1        6.740977
BA3177       1        6.844669
BA3315       1        6.000514
BA3182       1        6.751945
BA3369       1        6.760024
BA3078       1        7.122668
BA3386       1        7.170296
BA3176       1        7.124220
BA3258       1        6.290482
BA3295       1        6.459458
BA3136       1        6.583548
BA3234       1        5.902739
BA3087       1        7.422024
BA3454       1        7.292511
BA3302       1        7.587599
BA3117       1        7.353908
BA3266       1        6.521206
BA3268       1        7.343708
BA3229       1        6.734673
BA3353       1        7.347348
BA3312       1        7.118172
BA3119       1        7.494578
BA3219       1        6.144588
BA3351       1        6.447102
BA3357       1        6.874034
BA3208       1        6.783172
BA3310       1        6.026575
BA3200       1        7.512996
BA3146       1        6.797544
BA3211       1        7.077707
BA3130       1        5.830944
BA3376       1        7.068854
BA3137       1        6.393124
BA3300       1        7.254403
BA3375       1        6.901614
BA3385       1        6.722961
BA3416       1        7.483826
BA3123       1        6.524779
