#Boxplots d'expressions du gène CEBPA en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 214.268, p-value = 0.00000
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2217         mut2        0.110656
   BA2251         mut2        0.057894
   BA2915         mut2        0.005997
   BA2972         mut2        0.057545
   BA2094        mut14        0.056275
   BA2155        mut14        0.083387
   BA2156        mut14        0.128204
   BA2184        mut14        0.115451
   BA2277        mut14        0.069993
   BA2360        mut14        0.115637
   BA2410        mut14        0.040462
   BA2417        mut14        0.088531
   BA2561        mut14        0.070413
   BA2656        mut14        0.064717
   BA2718        mut14        0.093907
   BA3117        mut14        0.125186
   BA3194        mut14        0.140517
   BA3199        mut14        0.063161
   BA3312        mut14        0.056205
   BA3347        mut14        0.033205
   BA3413        mut14        0.121340
   BA3435        mut14        0.062756
   BA2006       NonMut        0.006139
   BA2011       NonMut        0.007930
   BA2019       NonMut        0.000419
   BA2020       NonMut        0.016887
   BA2022       NonMut        0.024921
   BA2023       NonMut        0.040872
   BA2024       NonMut        0.016361
   BA2025       NonMut        0.030158
   BA2031       NonMut        0.019944
   BA2032       NonMut        0.018730
   BA2033       NonMut        0.022818
   BA2034       NonMut        0.017886
   BA2035       NonMut        0.021019
   BA2036       NonMut        0.089060
   BA2037       NonMut        0.009087
   BA2041       NonMut        0.010473
   BA2044       NonMut        0.019476
   BA2046       NonMut        0.017932
   BA2047       NonMut        0.058118
   BA2050       NonMut        0.022150
   BA2051       NonMut        0.011053
   BA2052       NonMut        0.003293
   BA2053       NonMut        0.011951
   BA2054       NonMut        0.018054
   BA2055       NonMut        0.010548
   BA2063       NonMut        0.001898
   BA2065       NonMut        0.025810
   BA2066       NonMut        0.024898
   BA2068       NonMut        0.052763
   BA2069       NonMut        0.038411
   BA2072       NonMut        0.018598
   BA2079       NonMut        0.013612
   BA2080       NonMut        0.076139
   BA2081       NonMut        0.025660
   BA2082       NonMut        0.051054
   BA2087       NonMut        0.040302
   BA2088       NonMut        0.008073
   BA2089       NonMut        0.011324
   BA2093       NonMut        0.020921
   BA2095       NonMut        0.043540
   BA2096       NonMut        0.012095
   BA2097       NonMut        0.011997
   BA2098       NonMut        0.022901
   BA2100       NonMut        0.009341
   BA2101       NonMut        0.003824
   BA2104       NonMut        0.035650
   BA2106       NonMut        0.012854
   BA2109       NonMut        0.016216
   BA2110       NonMut        0.019725
   BA2113       NonMut        0.016475
   BA2116       NonMut        0.003023
   BA2121       NonMut        0.008115
   BA2122       NonMut        0.007777
   BA2123       NonMut        0.011095
   BA2124       NonMut        0.037262
   BA2125       NonMut        0.012852
   BA2132       NonMut        0.010151
   BA2133       NonMut        0.002753
   BA2134       NonMut        0.023254
   BA2135       NonMut        0.005746
   BA2139       NonMut        0.028576
   BA2143       NonMut        0.009843
   BA2148       NonMut        0.003889
   BA2153       NonMut        0.006306
   BA2162       NonMut        0.013326
   BA2163       NonMut        0.004089
   BA2168       NonMut        0.012668
   BA2169       NonMut        0.008278
   BA2171       NonMut        0.035795
   BA2172       NonMut        0.013172
   BA2174       NonMut        0.012211
   BA2175       NonMut        0.026641
   BA2195       NonMut        0.015979
   BA2198       NonMut        0.023141
   BA2200       NonMut        0.036463
   BA2201       NonMut        0.021870
   BA2209       NonMut        0.002399
   BA2211       NonMut        0.050858
