#Boxplots d'expressions du gène SRSF2 en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 4.155, p-value = 0.00248
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2052         mut1        9.554357
   BA2209         mut1        8.678218
   BA2276         mut1        9.141008
   BA2311         mut1        8.784124
   BA2357         mut1        9.267456
   BA2361         mut1        9.175594
   BA2369         mut1        9.251104
   BA2473         mut1        9.937970
   BA2497         mut1        8.614232
   BA2621         mut1        8.907609
   BA2676         mut1        9.230892
   BA2685         mut1        9.267456
   BA2707         mut1        9.206964
   BA2789         mut1        9.096003
   BA2872         mut1        9.137210
   BA2995         mut1        9.525175
   BA2590         mut1        9.609294
   BA3135         mut1        9.400075
   BA3185         mut1        9.199065
   BA3234         mut1        7.946359
   BA3237         mut1        9.133421
   BA3305         mut1        8.821100
   BA3310         mut1        9.175594
   BA3329         mut1        9.484060
   BA2035         mut2        9.222877
   BA2046         mut2        9.187287
   BA2195         mut2        8.971424
   BA2286         mut2        8.920834
   BA2480         mut2        8.730258
   BA2496         mut2        8.843079
   BA2645         mut2        9.125868
   BA2667         mut2        8.954383
   BA2769         mut2        8.974853
   BA2846         mut2        9.309066
   BA2860         mut2        8.712713
   BA2880         mut2        9.160132
   BA2923         mut2        7.645112
   BA3207         mut2        7.935022
   BA3333         mut2        9.463724
   BA3334         mut2        8.655650
   BA2104         mut3        7.645112
   BA2133         mut3        9.238947
   BA2276         mut3        9.141008
   BA2361         mut3        9.175594
   BA2363         mut3        8.266079
   BA2473         mut3        9.937970
   BA2538         mut3        9.009557
   BA2621         mut3        8.907609
   BA2685         mut3        9.267456
   BA2707         mut3        9.206964
   BA2836         mut3        9.144815
   BA2872         mut3        9.137210
   BA2590         mut3        9.609294
   BA3185         mut3        9.199065
   BA3234         mut3        7.946359
   BA3237         mut3        9.133421
   BA3305         mut3        8.821100
   BA3329         mut3        9.484060
   BA3452         mut3        8.571295
   BA2034         mut4        8.993905
   BA2089         mut4        8.184160
   BA2109         mut4        8.652853
   BA2162         mut4        9.183380
   BA2229         mut4        9.386757
   BA2233         mut4        9.655715
   BA2379         mut4        8.658453
   BA2423         mut4        8.698245
   BA2472         mut4        8.681063
   BA2489         mut4        9.574114
   BA2520         mut4        9.530002
   BA2583         mut4        9.676798
   BA2589         mut4        9.037865
   BA2659         mut4        8.529588
   BA2694         mut4        9.422519
   BA2722         mut4        8.950997
   BA2843         mut4        9.292294
   BA2858         mut4        9.309066
   BA2867         mut4        9.300659
   BA2999         mut4        9.034300
   BA3010         mut4        8.878246
   BA2516         mut4        8.942682
   BA2971         mut4        9.025436
   BA3123         mut4        8.687586
   BA3124         mut4        9.382342
   BA3181         mut4        8.037222
   BA3190         mut4        8.514255
   BA3195         mut4        9.356100
   BA3199         mut4        9.491793
   BA3206         mut4        9.574114
   BA3260         mut4        8.437581
   BA3275         mut4        9.736298
   BA3277         mut4        9.431585
   BA3290         mut4        8.887974
   BA3308         mut4        9.179483
   BA3345         mut4        8.940880
   BA3405         mut4        8.224454
   BA2409       NonMut        8.411359
   BA3037       NonMut        8.230612
   BA2172       NonMut        8.712713
   BA2865       NonMut        9.222877
   BA2751       NonMut        9.502934
   BA2922       NonMut        9.321759
   BA2452       NonMut        9.821335
   BA3379       NonMut        9.463724
   BA2887       NonMut        9.133421
   BA2712       NonMut        9.391184
   BA2068       NonMut       10.628939
   BA2236       NonMut        9.222877
   BA3395       NonMut        9.099707
   BA2921       NonMut        9.549456
   BA2449       NonMut        8.606085
   BA2003       NonMut        9.752931
   BA2360       NonMut        9.422519
   BA2802       NonMut        9.539699
   BA2235       NonMut        8.930826
   BA3038       NonMut        8.608796
   BA3006       NonMut        9.640088
   BA2245       NonMut        9.496519
   BA2239       NonMut        8.664074
   BA2782       NonMut        8.891229
   BA2649       NonMut        9.614385
   BA2488       NonMut        8.901037
   BA2861       NonMut        9.179483
   BA2909       NonMut        8.792052
   BA2429       NonMut        8.992229
   BA2653       NonMut        9.260993
   BA2134       NonMut        8.464310
   BA2947       NonMut        9.415200
   BA2032       NonMut        8.739106
   BA2564       NonMut        8.907609
   BA2597       NonMut        9.507687
   BA3243       NonMut        9.045020
   BA2106       NonMut        9.171715
   BA2427       NonMut        9.163984
   BA2841       NonMut        9.676798
   BA2446       NonMut        9.473026
   BA2525       NonMut        9.183380
   BA2876       NonMut        9.191204
   BA2546       NonMut        8.865367
   BA2742       NonMut        8.666892
   BA2316       NonMut        8.950997
   BA2421       NonMut        8.268196
   BA2087       NonMut        8.819807
   BA2910       NonMut        8.897761
   BA2148       NonMut        8.724387
   BA2063       NonMut        9.267456
   BA2329       NonMut        8.871794
   BA3178       NonMut        8.875016
   BA2072       NonMut        9.133421
   BA3029       NonMut        9.454476
   BA2733       NonMut        9.226880
   BA2069       NonMut        9.477697
   BA2100       NonMut        8.672544
   BA2681       NonMut        9.195130
   BA2248       NonMut        9.369168
   BA2832       NonMut        9.604220
   BA2308       NonMut        9.758516
   BA2413       NonMut        9.629756
   BA2701       NonMut        9.055811
   BA2634       NonMut        9.356100
   BA2677       NonMut        9.482382
   BA2937       NonMut        9.271569
   BA2600       NonMut        9.048609
   BA2019       NonMut        9.520364
   BA2412       NonMut        8.759952
   BA2334       NonMut        9.564204
   BA2050       NonMut        9.949051
   BA3230       NonMut        9.084943
   BA2953       NonMut        9.206964
   BA2481       NonMut        9.815516
   BA2731       NonMut        8.781082
   BA2294       NonMut        9.609294
   BA2418       NonMut        9.459093
   BA2816       NonMut        9.369168
   BA2656       NonMut        9.949051
   BA2814       NonMut        9.107139
   BA2631       NonMut        9.267456
   BA2023       NonMut        9.013069
   BA2375       NonMut        9.271569
   BA2485       NonMut        9.678427
   BA2455       NonMut        8.858967
   BA2025       NonMut        9.096003
   BA2636       NonMut        9.048609
   BA2325       NonMut        8.452096
   BA2169       NonMut        9.506014
   BA2156       NonMut        9.386757
   BA2511       NonMut        9.369168
   BA2939       NonMut        9.133421
   BA2168       NonMut        9.730793
   BA2505       NonMut        9.391184
   BA2871       NonMut        8.992112
   BA2655       NonMut        9.604220
   BA2227       NonMut        9.599162
   BA2125       NonMut        9.418005
   BA2523       NonMut        9.530002
   BA2603       NonMut        9.125868
   BA2808       NonMut        9.179483
   BA2282       NonMut        9.023649
   BA2482       NonMut        8.910905
   BA2812       NonMut        9.703560
   BA2822       NonMut        9.316725
   BA2594       NonMut        9.222877
   BA2747       NonMut        9.477697
   BA2561       NonMut        9.930123
   BA2567       NonMut       10.000747
   BA2906       NonMut        9.911433
   BA2956       NonMut        9.905255
   BA2474       NonMut        9.009557
   BA2737       NonMut        9.809719
   BA2110       NonMut        8.730258
   BA2992       NonMut        9.144815
   BA2220       NonMut        9.409015
   BA2772       NonMut        8.718539
   BA2935       NonMut        9.171715
   BA2260       NonMut        9.129640
   BA2948       NonMut        8.669716
   BA2524       NonMut        8.988646
   BA2811       NonMut        9.247042
   BA2540       NonMut        9.045020
   BA2928       NonMut        9.369168
   BA2302       NonMut        9.395624
   BA2595       NonMut        8.681063
   BA2792       NonMut        9.544570
   BA2651       NonMut        8.927488
   BA2619       NonMut        8.733202
   BA3013       NonMut        9.506014
   BA2405       NonMut        8.709809
   BA2735       NonMut        8.597983
   BA2856       NonMut        8.924158
   BA2377       NonMut        7.838400
   BA2499       NonMut        8.814877
   BA2463       NonMut        9.526843
   BA3023       NonMut        9.006053
   BA2095       NonMut        9.614385
   BA2901       NonMut        8.452096
   BA2275       NonMut        8.704016
   BA2387       NonMut        9.300659
   BA2962       NonMut        9.364800
   BA2688       NonMut        9.002647
   BA2787       NonMut        8.944245
   BA2420       NonMut        9.400075
   BA2756       NonMut        8.614232
   BA2122       NonMut        8.730258
   BA2053       NonMut        8.715624
   BA2080       NonMut        9.343137
   BA2081       NonMut        9.506014
   BA2354       NonMut        9.036084
   BA3273       NonMut        9.004433
   BA2893       NonMut        9.850772
   BA2044       NonMut        9.373547
   BA2309       NonMut        9.395624
   BA2720       NonMut        8.462497
   BA2908       NonMut        8.664937
   BA2054       NonMut        9.321759
   BA2526       NonMut        9.313286
   BA2041       NonMut        9.880796
   BA2464       NonMut        8.855777
   BA2902       NonMut       10.068050
   BA2541       NonMut        9.048609
   BA2143       NonMut        9.030742
   BA2094       NonMut        9.459093
   BA2592       NonMut        9.868714
   BA2718       NonMut        9.309066
   BA2575       NonMut        8.558132
   BA2096       NonMut       10.095873
   BA2593       NonMut       10.111511
   BA2791       NonMut        9.614385
   BA2620       NonMut        8.871794
   BA2629       NonMut        9.554357
   BA2870       NonMut        9.534843
   BA2682       NonMut        9.510783
   BA2348       NonMut        8.385633
   BA2709       NonMut        8.686769
   BA2415       NonMut        8.944245
   BA2806       NonMut        9.666221
   BA2221       NonMut        9.477697
   BA3025       NonMut        9.501260
   BA2514       NonMut        9.498194
   BA2441       NonMut        9.624616
   BA2153       NonMut        9.114605
   BA2479       NonMut        9.673131
   BA2281       NonMut        9.645280
   BA2657       NonMut        8.992112
   BA2932       NonMut        9.477697
   BA2123       NonMut        9.827177
   BA2844       NonMut        9.660959
   BA2660       NonMut        9.167845
   BA3027       NonMut        9.296471
   BA2714       NonMut        8.894492
   BA2139       NonMut        8.425600
   BA2251       NonMut        9.326012
   BA2952       NonMut        8.992112
   BA2440       NonMut        9.838928
   BA2036       NonMut        9.655715
   BA2828       NonMut        9.063046
   BA2292       NonMut        9.942715
   BA2410       NonMut        9.645280
   BA2051       NonMut        8.884724
   BA2532       NonMut        8.944245
   BA2986       NonMut        9.671501
   BA2494       NonMut        9.520364
   BA2515       NonMut        9.482382
