Sample	Feature	ExpressionGene
BA2409	1	7.98898804212453
BA2496	1	8.43277580504712
BA3037	1	9.39562360946183
BA2865	1	8.81487669872437
BA2751	1	8.91601487826164
BA2286	1	8.69824500910271
BA2488	1	8.52190108216259
BA3379	1	8.44724078411408
BA2887	1	8.81798541280226
BA2712	2	8.73025810259064
BA2068	2	8.7629529869435
BA2104	1	8.3558471237735
BA3124	1	8.99211218550823
BA2449	1	9.01658796485945
BA2235	1	8.69536777456055
BA3038	1	8.23679901175147
BA3006	3	9.04860912314158
BA2667	1	8.6472743085318
BA2239	1	8.33337930026134
BA2782	3	8.42559982560594
BA2649	1	8.40900046313029
BA2861	1	8.59260663428802
BA2134	1	8.42321613548815
BA2909	1	8.37135302575124
BA2653	1	8.40379071339591
BA2947	1	8.88329417040296
BA2162	1	8.75995195431454
BA2564	1	8.37870011521958
BA2597	4	9.18123516021677
BA3243	2	8.50664971851981
BA2446	1	8.48407580140491
BA2525	4	9.52036350053221
BA2876	4	9.10341841676742
BA2357	2	8.45209623715645
BA2546	1	8.268195867683
BA2742	1	8.43037965011906
BA2316	1	8.30255392241405
BA2087	2	8.54953218061743
BA2148	2	8.32893113987774
BA3178	3	8.67537853618004
BA2072	1	8.39493145233583
BA2733	2	8.8879736022598
BA2995	2	9.4045391740165
BA2069	1	8.19411260375688
BA2681	3	8.75098362594822
BA2832	2	8.90103696609653
BA2600	4	9.00605305286098
BA3230	1	8.54249270039127
BA2731	2	8.55813210635661
BA2294	4	8.74800571415782
BA2816	4	8.66407371953991
BA2814	3	8.28956252610494
BA2631	1	8.79942491234482
BA2023	1	8.18614443860235
BA2375	1	8.3558471237735
BA2485	1	8.89630209786589
BA2455	4	8.75695672842528
BA2636	4	8.672544374331
BA2325	1	8.27883495411433
BA2156	1	8.70980864868103
BA2511	4	8.92415796681604
BA2505	4	8.82734862624236
BA2871	3	8.8879736022598
BA2227	1	8.94424486652991
BA2812	3	8.67537853618004
BA2125	1	8.76595984417136
BA2603	1	8.60067902691643
BA2808	4	8.48906113697349
BA2482	1	8.8525926437112
BA2594	1	8.61151153389318
BA2747	4	9.03429954865997
BA2561	3	8.3603866090308
BA2567	3	8.71271331389775
BA2906	1	9.160132157513
BA2956	2	9.18338030789918
BA2474	1	9.14863087419242
BA2737	2	9.02011485988608
BA2110	1	8.67537853618004
BA2992	4	8.69536777456055
BA2220	1	8.20818067427413
BA2063	2	9.23491479941431
BA2772	2	9.12210512882866
BA2935	4	8.824221356442
BA2260	3	8.39960495989321
BA2948	3	8.73910632748104
BA3296	1	8.43998936441936
BA2524	4	8.71562351354988
BA2811	1	8.65285322774346
BA2540	4	8.97142354261209
BA2928	1	8.51679913189176
BA2302	4	9.1755941413251
BA2651	4	8.92415796681604
BA2619	1	8.8879736022598
BA3013	4	8.84624370479657
BA2405	3	8.81798541280226
BA2856	3	8.61151153389318
BA2377	2	8.11098473910268
BA2499	2	8.8525926437112
BA3023	4	8.77199110438686
BA2095	1	8.43517613550052
BA2275	1	8.21629115879124
BA2901	2	8.13938594647296
BA2387	1	8.8525926437112
BA2962	1	8.59798330037588
BA2195	4	8.74800571415782
BA2688	2	8.99569456808485
BA2420	1	8.91420804405317
BA2053	2	8.46922505155083
BA2081	1	8.79022656584331
BA2354	1	8.38979342299319
BA3273	2	9.1087191158229
BA2893	3	9.11460476788528
BA2044	1	8.54508752883457
BA2489	2	8.5872495962732
BA2908	1	8.50277388292747
BA2054	3	8.3695120975799
BA2872	1	8.3156761580726
BA2041	2	8.83676787171411
BA2464	1	8.18416035809344
BA2902	4	8.99906762077278
BA2541	1	8.94087956106744
BA2843	4	9.4045391740165
BA2497	1	8.15284092667829
BA2718	1	8.63894476137773
BA2575	1	8.21629115879124
BA2593	3	9.64691731252063
BA2791	2	8.90103696609653
BA2620	1	8.44966638628301
BA2629	1	9.40901547409309
BA2870	1	8.47910806756512
BA2682	4	8.84624370479657
BA2276	2	8.70401585675217
BA2709	2	8.63894476137773
BA2789	1	9.21490111990201
BA2538	2	9.1872873383188
BA2583	5	8.79635277497105
BA2806	2	9.11835064360706
BA2441	1	9.30065851731011
BA2514	2	8.66029258022104
BA2520	5	8.88148184246882
BA2479	5	9.26099325755712
BA2281	1	8.57394218930808
BA2932	1	8.75995195431454
BA2123	2	8.94761722776196
BA2844	2	8.73025810259064
BA2660	1	8.70112769787832
BA2836	2	8.61423212805534
BA2714	1	8.60879594020241
BA2440	5	8.60337970015667
BA2036	3	8.97829037472744
BA2828	1	8.82110029202306
BA2952	1	7.98067391429632
BA2410	2	9.07761127342397
