Sample	Feature	ExpressionGene
BA2409	1	8.41135949860071
BA2496	1	8.84307877151568
BA3037	1	8.23061160269424
BA2865	1	9.22287720595147
BA2751	1	9.50293364970638
BA2286	1	8.92083445647999
BA2488	1	8.90103696609653
BA3379	1	9.46372381175102
BA2887	1	9.13342062895717
BA2712	2	9.39118419839355
BA2068	2	10.6289390647318
BA2104	1	7.64511152399424
BA3124	1	9.38234175781362
BA2449	1	8.60608533344799
BA2235	1	8.93082572022568
BA3038	1	8.60879594020241
BA3006	3	9.64008823387741
BA2667	1	8.95438322249582
BA2239	1	8.66407371953991
BA2782	3	8.89122942781574
BA2649	1	9.61438474364243
BA2861	1	9.17948259034573
BA2134	1	8.46430959418229
BA2909	1	8.79205235357759
BA2653	1	9.26099325755712
BA2947	1	9.415200229547
BA2162	1	9.18338030789918
BA2564	1	8.9076089453561
BA2597	4	9.50768698561149
BA3243	2	9.04501990946176
BA2446	1	9.47302564786274
BA2525	4	9.18338030789918
BA2876	4	9.19120372633416
BA2357	2	9.26745559419095
BA2546	1	8.86536741111737
BA2742	1	8.66689198102969
BA2316	1	8.95099667095566
BA2087	2	8.81980741439546
BA2148	2	8.72438748273975
BA3178	3	8.87501645157825
BA2072	1	9.13342062895717
BA2733	2	9.22687989289351
BA2995	2	9.52517542791568
BA2069	1	9.47769688223901
BA2681	3	9.19512951707567
BA2832	2	9.60422004710875
BA2600	4	9.04860912314158
BA3230	1	9.08494318011795
BA2731	2	8.78108213178214
BA2294	4	9.60929418124753
BA2816	4	9.36916799017741
BA2814	3	9.10713869224013
BA2631	1	9.26745559419095
BA2023	1	9.01306871894599
BA2375	1	9.27156918109996
BA2485	1	9.67842749251503
BA2455	4	8.8589671548512
BA2636	4	9.04860912314158
BA2325	1	8.45209623715645
BA2156	1	9.38675693832204
BA2511	4	9.36916799017741
BA2505	4	9.39118419839355
BA2871	3	8.99211218550823
BA2227	1	9.59916222255831
BA2812	3	9.70356008854553
BA2125	1	9.41800548205558
BA2603	1	9.12586826213153
BA2808	4	9.17948259034573
BA2482	1	8.91090509269608
BA2594	1	9.22287720595147
BA2747	4	9.47769688223901
BA2561	3	9.93012293296997
BA2567	3	10.0007468429699
BA2906	1	9.91143332054624
BA2956	2	9.90525526471174
BA2474	1	9.00955709168753
BA2737	2	9.80971908397822
BA2110	1	8.73025810259064
BA2992	4	9.14481502348153
BA2220	1	9.40901547409309
BA2063	2	9.26745559419095
BA2772	2	8.71853926395486
BA2935	4	9.17171491689544
BA2260	3	9.12964008242639
BA2948	3	8.6697155276332
BA3296	1	8.8879736022598
BA2524	4	8.98864564355709
BA2811	1	9.24704173883127
BA2540	4	9.04501990946176
BA2928	1	9.36916799017741
BA2302	4	9.39562360946183
BA2651	4	8.92748837970555
BA2619	1	8.7332018546727
BA3013	4	9.50601427714714
BA2405	3	8.70980864868103
BA2856	3	8.92415796681604
BA2377	2	7.83840005803793
BA2499	2	8.81487669872437
BA3023	4	9.00605305286098
BA2095	1	9.61438474364243
BA2275	1	8.70401585675217
BA2901	2	8.45209623715645
BA2387	1	9.30065851731011
BA2962	1	9.36480042798147
BA2195	4	8.97142354261209
BA2688	2	9.00264729477778
BA2420	1	9.4000752436972
BA2053	2	8.71562351354988
BA2081	1	9.50601427714714
BA2354	1	9.03608369232641
BA3273	2	9.00443312215534
BA2893	3	9.85077214115986
BA2044	1	9.3735473533766
BA2489	2	9.57411368730524
BA2908	1	8.66493693752935
BA2054	3	9.3217592552912
BA2872	1	9.13720994130471
BA2041	2	9.88079564639631
BA2464	1	8.85577669200061
BA2902	4	10.0680496747685
BA2541	1	9.04860912314158
BA2843	4	9.29229417829056
BA2497	1	8.61423212805534
BA2718	1	9.30906602396076
BA2575	1	8.55813210635661
BA2593	3	10.111511463709
BA2791	2	9.61438474364243
BA2620	1	8.8717935877338
BA2629	1	9.55435683089665
BA2870	1	9.53484314535953
BA2682	4	9.51078302100883
BA2276	2	9.1410080593907
BA2709	2	8.68676863894814
BA2789	1	9.09600320401444
BA2538	2	9.00955709168753
BA2583	5	9.67679810675791
BA2806	2	9.66622107740225
BA2441	1	9.62461563502098
BA2514	2	9.49819442110274
BA2520	5	9.53000194332933
BA2479	5	9.67313133431446
BA2281	1	9.64527993925034
BA2932	1	9.47769688223901
BA2123	2	9.82717700787936
BA2844	2	9.66095938066438
BA2660	1	9.16784487350203
BA2836	2	9.14481502348153
BA2714	1	8.89449191470128
BA2440	5	9.83892848550566
BA2036	3	9.65571538111022
BA2828	1	9.06304565250042
BA2952	1	8.99211218550823
BA2410	2	9.64527993925034
BA2139	3	8.42559982560594
BA2051	5	8.88472441482659
BA2532	2	8.94424486652991
BA2494	5	9.52036350053221
BA2748	1	9.45909303825332
BA2622	1	9.01306871894599
BA2970	2	9.11835064360706
BA2839	2	9.29229417829056
BA2868	3	9.47769688223901
BA3011	1	9.07750677038397
BA2052	2	9.55435683089665
BA2510	5	8.99211218550823
BA2691	1	8.86536741111737
BA2374	1	9.67679810675791
BA2804	5	9.08494318011795
BA2675	1	9.13342062895717
BA2031	1	8.60608533344799
BA2198	3	9.07395764638915
BA2066	1	8.90103696609653
BA2344	3	9.43613726309062
BA2459	2	8.31312330931764
BA2229	5	9.38675693832204
BA2559	5	8.86857724833819
BA2093	1	9.22287720595147
BA2000	3	9.58408544068247
BA2425	1	9.50768698561149
BA2905	5	9.16784487350203
BA2304	3	8.61695773628636
BA2976	1	8.97485330936457
BA2386	2	8.79328666582968
BA2035	1	9.22287720595147
BA2760	5	8.49657233882556
BA2201	1	9.08494318011795
BA2355	5	9.52517542791568
BA2113	1	9.44407804044761
BA2955	1	9.09600320401444
BA2322	1	9.160132157513
BA2020	3	9.83892848550566
BA2226	1	8.93417001363455
BA2376	1	8.61423212805534
BA2121	1	8.92415796681604
BA2944	3	9.2389471182711
BA2033	5	9.53484314535953
BA2867	2	9.30065851731011
BA2089	1	8.18416035809344
BA2224	1	9.12964008242639
BA2046	2	9.1872873383188
BA2972	1	9.44070228005406
BA2978	1	8.40194775982719
BA2851	1	9.2592593958878
BA2587	1	9.02364943472175
BA2024	1	9.17171491689544
BA2426	5	9.0307417478067
BA2271	1	9.12964008242639
BA3004	1	9.80971908397822
BA3010	6	8.87824586229709
BA2662	1	9.06304565250042
BA2658	1	9.30065851731011
BA2512	3	8.54249270039127
BA2109	1	8.65285322774346
BA2242	1	9.45909303825332
BA2132	6	9.8991027074875
BA2846	1	9.30906602396076
BA2521	1	9.09970659968869
BA2885	1	8.57925061313916
BA2639	1	9.4270458724936
BA2775	3	9.44987135785787
BA2402	1	8.84307877151568
BA2097	4	9.28812805203208
BA2399	2	9.63491369950168
BA2174	1	9.04860912314158
BA3001	1	9.67679810675791
BA2911	1	8.99558616821901
BA2311	2	8.78412431760784
BA3040	4	9.43158515365849
BA2724	2	8.88472441482659
BA2821	1	9.34313727945847
BA2233	4	9.65571538111022
BA2744	1	9.14863087419242
BA2501	3	9.40901547409309
BA2301	5	9.0307417478067
BA2880	5	9.160132157513
BA2621	6	8.9076089453561
BA2866	4	9.8991027074875
BA2212	2	9.33027676031699
BA2477	1	9.26335235036244
BA2685	6	9.26745559419095
BA2273	6	9.98114720830101
BA2124	3	9.87632246618632
BA2400	1	9.43613726309062
BA2762	2	9.34313727945847
BA2312	3	9.53484314535953
BA2813	5	9.78106105276028
BA2211	1	9.85831326849695
BA2171	1	9.64008823387741
BA2746	5	8.98518651350313
BA2798	6	9.27569316532541
BA2588	1	9.60929418124753
BA2296	1	9.36916799017741
BA2300	3	9.88687313292775
BA2545	1	9.17171491689544
BA2840	1	9.22062772367926
BA2528	1	9.30485684547982
BA2646	1	8.95099667095566
BA2926	3	9.26745559419095
BA2272	1	8.97485330936457
BA2306	6	8.7420670822246
BA2726	1	8.54249270039127
BA2234	1	8.97142354261209
BA2022	3	9.75851596885508
BA2037	1	9.23089240757758
BA2184	1	9.45447558148811
BA3009	1	9.76974697360105
BA2442	3	8.9076089453561
BA2882	1	8.5607551950315
BA2570	2	8.79022656584331
BA2721	1	8.97829037472744
BA2728	1	8.5373170330564
BA2098	1	9.14863087419242
BA2951	3	9.14863087419242
BA2778	1	8.52190108216259
BA3153	5	9.47302564786274
BA2820	1	8.86216405394702
BA2704	1	9.58408544068247
BA2584	3	10.0475291689068
BA3079	3	10.0007468429699
BA2361	5	9.1755941413251
BA2472	2	8.68106286594684
BA2047	1	9.58909503454725
BA2101	1	9.48238177689826
BA2082	2	8.77804587995587
BA2456	2	8.80250309714617
BA2175	2	9.59412059033195
BA2507	5	9.88079564639631
BA2563	3	9.68211371581436
BA2984	1	9.6874475749889
BA2414	5	9.64008823387741
BA2697	3	9.44696832329653
BA2644	3	9.3735473533766
BA2011	3	9.09600320401444
BA2217	1	9.69279982690398
BA2454	2	9.86270964606403
BA2776	1	9.80971908397822
BA2135	6	9.94271473100152
BA2914	1	8.83362186336888
BA2500	1	9.0307417478067
BA3108	1	9.43613726309062
BA2303	3	8.83676787171411
BA2160	3	9.55927298456459
BA2590	5	9.60929418124753
BA3195	5	9.3561004357089
BA3036	2	9.11086746340759
BA2971	6	9.02543573403374
BA3410	8	9.47302564786274
BA3118	2	9.22287720595147
BA3206	1	9.57411368730524
BA3217	5	9.4045391740165
BA3405	3	8.22445433533228
BA3306	5	9.00255657247606
BA3413	3	9.58909503454725
BA3411	1	9.07395764638915
BA3133	1	9.3561004357089
BA3451	1	8.52958832512444
BA3286	1	9.36916799017741
BA3212	1	9.56098320131876
BA3103	2	8.91751782379931
BA3271	1	9.1872873383188
BA3152	1	9.3735473533766
BA3095	1	9.79245962144758
BA3251	5	9.40901547409309
BA3362	1	9.00434706477645
BA3135	8	9.4000752436972
BA3408	8	9.63491369950168
BA3098	3	9.12964008242639
BA3435	1	9.19120372633416
BA3261	1	9.54457000922792
BA3203	6	9.76974697360105
BA3299	6	8.75098362594822
BA3347	5	9.43158515365849
BA3126	1	8.26607857536642
BA3418	8	8.97829037472744
BA3245	5	9.56915130536806
BA3085	1	9.07761127342397
BA3171	1	8.83048212173684
BA3277	5	9.43158515365849
BA3157	1	9.56420444046175
BA3433	5	9.53969913371194
BA3374	1	8.79328666582968
BA3450	7	9.60422004710875
BA3167	2	8.47663077360064
BA3269	5	9.60929418124753
BA3110	2	9.66259277874038
BA3156	8	9.2592593958878
BA3226	1	9.39118419839355
BA3421	5	8.95777690896205
BA3232	1	9.27569316532541
BA3289	5	8.61423212805534
BA3430	5	8.38747453651413
BA3384	1	9.17948259034573
BA3427	1	9.28812805203208
BA3449	8	9.09230819306279
BA3163	1	8.52958832512444
BA3158	3	9.55927298456459
BA3436	1	9.61438474364243
BA3154	7	9.62258533258528
BA3162	2	8.12230223339654
BA3352	2	8.92264013919218
BA3084	1	9.31751716888528
BA3149	5	8.71853926395486
BA3169	5	8.9076089453561
BA3180	5	9.2109276242084
BA3255	1	9.41350421836705
BA3438	1	9.62975620855742
BA3345	8	8.94087956106744
BA3431	7	8.42559982560594
BA3181	8	8.03722226484621
BA3341	2	8.96458579397726
BA3191	1	8.77804587995587
BA3197	1	9.16398396797258
BA3448	1	9.38234175781362
BA3453	5	9.12586826213153
BA3406	3	9.82133532639013
BA3334	2	8.65565049707964
BA3447	7	9.52036350053221
BA3116	5	8.97485330936457
BA3280	5	9.53969913371194
BA3185	5	9.19906475607931
BA3094	1	8.6697155276332
BA3318	2	8.42559982560594
BA3216	5	9.40901547409309
BA3332	7	9.41800548205558
BA3373	1	9.3217592552912
BA3319	1	8.43037965011906
BA3328	1	9.28812805203208
BA3240	1	9.08127310626888
BA3142	1	9.44070228005406
BA3333	5	9.46372381175102
BA3381	1	8.74800571415782
BA3290	1	8.8879736022598
BA3207	1	7.93502206043898
BA3305	5	8.82110029202306
BA3434	1	9.27569316532541
BA3189	1	9.08862153045619
BA3264	1	9.55435683089665
BA3329	5	9.48406046211483
BA3225	1	8.11666073243668
BA3397	1	9.64527993925034
BA3311	1	8.07971165578759
BA3422	5	10.0888662099127
BA3213	5	9.26335235036244
BA3415	1	9.34744684153524
BA3270	1	8.8717935877338
BA3324	1	8.8525926437112
BA3335	5	9.96822468421139
BA3199	5	9.4917929010063
BA3326	5	9.27569316532541
BA3297	1	9.09230819306279
BA3227	1	9.11460476788528
BA3412	1	8.93752128537319
BA3250	1	9.21888429779212
BA3177	1	9.47769688223901
BA3315	1	8.96117775713075
BA3182	1	8.91751782379931
BA3369	1	9.24704173883127
BA3078	1	9.20475662343021
BA3386	1	9.71984209806913
BA3176	1	9.29229417829056
BA3258	1	8.64449262965366
BA3295	1	8.76897254396233
BA3136	1	9.05220627117217
BA3234	1	7.94635895319707
BA3087	1	9.37964346609645
BA3454	1	9.160132157513
BA3302	1	9.39118419839355
BA3117	1	9.44696832329653
BA3266	1	9.21888429779212
BA3268	1	9.28397254525379
BA3229	1	8.70401585675217
BA3353	1	9.78674968596522
BA3312	1	9.20300948929151
BA3119	1	9.3561004357089
BA3219	1	8.44724078411408
BA3351	1	9.54457000922792
BA3357	1	9.36650856672567
BA3208	1	9.65571538111022
BA3310	1	9.1755941413251
BA3200	1	9.1872873383188
BA3146	1	9.15628939970288
BA3211	1	9.11086746340759
BA3130	1	7.51630069461518
BA3376	1	9.3217592552912
BA3137	1	9.06304565250042
BA3300	1	9.24242183959432
BA3375	1	9.39118419839355
BA3385	1	8.95438322249582
BA3416	1	9.22687989289351
BA3123	1	8.68758550697862
