Sample	Feature	ExpressionGene
BA2409	1	6.77486042127373
BA2496	1	6.85394237356265
BA3037	1	5.10315757075363
BA2865	1	5.63859875243939
BA2751	1	6.87847286019697
BA2286	1	5.89203625853857
BA2488	1	6.41031606152443
BA3379	1	5.99561264597437
BA2887	1	5.77451233227095
BA2712	2	6.63861770845571
BA2068	2	5.80651617633479
BA2104	1	7.62437772428186
BA3124	1	5.53130217583918
BA2449	1	5.1308809152012
BA2235	1	6.50297201387594
BA3038	1	7.61949698331246
BA3006	3	6.23620830247888
BA2667	1	7.12738803665014
BA2239	1	7.66988409314176
BA2782	3	7.34547705030654
BA2649	1	5.21007881246748
BA2861	1	6.39121229400113
BA2134	1	7.35957852119331
BA2909	1	6.7928687930301
BA2653	1	5.9361114629243
BA2947	1	5.76994542170869
BA2162	1	6.83661488155882
BA2564	1	7.02768073602554
BA2597	4	6.04401665671066
BA3243	2	7.08297551023298
BA2446	1	6.57407550686427
BA2525	4	4.84004894658634
BA2876	4	5.68494283424888
BA2357	2	6.01704720263967
BA2546	1	6.43542748974206
BA2742	1	6.59148541753236
BA2316	1	6.52270916866473
BA2087	2	6.63486341869675
BA2148	2	5.13585150348145
BA3178	3	6.732801148639
BA2072	1	7.19225834495813
BA2733	2	6.66177361256097
BA2995	2	6.83029032072815
BA2069	1	6.76957967246072
BA2681	3	6.27064006981264
BA2832	2	6.1188645712048
BA2600	4	6.44128835620157
BA3230	1	6.45599883472476
BA2731	2	6.80425051325387
BA2294	4	6.26561634633026
BA2816	4	6.84098754890722
BA2814	3	6.51402356062823
BA2631	1	6.45945806358587
BA2023	1	7.27555120012057
BA2375	1	7.5032888272442
BA2485	1	5.88045550111629
BA2455	4	6.77486042127373
BA2636	4	6.38888273500531
BA2325	1	6.63537899034447
BA2156	1	5.69217660010952
BA2511	4	6.6963494054774
BA2505	4	6.97318609681243
BA2871	3	6.50103892537921
BA2227	1	5.4168131671987
BA2812	3	5.97648507555777
BA2125	1	6.48317228455133
BA2603	1	6.41510646424492
BA2808	4	5.90396043152694
BA2482	1	6.87718695252014
BA2594	1	6.59148541753236
BA2747	4	5.96305194548373
BA2561	3	6.18119276601149
BA2567	3	6.12432253652151
BA2906	1	6.56840033593867
BA2956	2	6.33555481831586
BA2474	1	6.35117266997331
BA2737	2	7.32309525533159
BA2110	1	7.58290428004672
BA2992	4	6.84776495812423
BA2220	1	5.64166399423883
BA2063	2	4.89696755761679
BA2772	2	6.12385981288499
BA2935	4	6.90423057855148
BA2260	3	7.13121480456278
BA2948	3	6.70639038824238
BA3296	1	6.64131489127646
BA2524	4	6.14846279197281
BA2811	1	6.01912446509313
BA2540	4	6.43146976668751
BA2928	1	6.55763968463611
BA2302	4	5.77571318535643
BA2651	4	5.6655125977295
BA2619	1	6.34099882607851
BA3013	4	5.72866766844001
BA2405	3	5.87733009897837
BA2856	3	5.75062167266173
BA2377	2	6.52938873500607
BA2499	2	6.15698094792798
BA3023	4	5.26887133584046
BA2095	1	5.38803577864658
BA2275	1	6.57560815980456
BA2901	2	6.20050527440426
BA2387	1	6.4243136710677
BA2962	1	5.68039540990515
BA2195	4	6.38023120196824
BA2688	2	6.01664395833904
BA2420	1	6.73527749858946
BA2053	2	5.5722787954592
BA2081	1	6.6568137663596
BA2354	1	6.27784077147234
