	Sample	Feature	ExpressionGene
0	BA2409	1	5.89440299333517
1	BA2496	1	6.08237851607355
2	BA3037	1	6.6430484484285
3	BA2865	1	5.99605530428902
4	BA2751	1	6.18950223686314
5	BA2286	1	5.85069378244672
6	BA2488	1	6.14107496616557
7	BA3379	1	5.48165003338094
8	BA2887	1	5.56705100056312
9	BA2712	2	6.55232565838748
10	BA2068	2	5.02586431491849
11	BA2104	1	6.33368252669389
12	BA3124	1	5.89124416348565
13	BA2449	1	6.30418081628279
14	BA2235	1	6.48013079701668
15	BA3038	1	6.02896726775605
16	BA3006	3	6.36840696799515
17	BA2667	1	5.51310398165662
18	BA2239	1	5.7458954791197
19	BA2782	3	6.26033254809805
20	BA2649	1	6.02657524046515
21	BA2861	1	5.88444565778855
22	BA2134	1	6.01704720263967
23	BA2909	1	6.50002459426286
24	BA2653	1	6.5435898741168
25	BA2947	1	6.0298343370462
26	BA2162	1	6.58028734101557
27	BA2564	1	6.12552506853402
28	BA2597	4	7.31848514343172
29	BA3243	2	6.0456807736423
30	BA2446	1	6.13208464272519
31	BA2525	4	7.21621114040909
32	BA2876	4	7.14840411383597
33	BA2357	2	6.34594713892537
34	BA2546	1	6.13208464272519
35	BA2742	1	6.3028045984555
36	BA2316	1	6.15523951187803
37	BA2087	2	6.69580577134555
38	BA2148	2	6.92111028015582
39	BA3178	3	6.64464627075058
40	BA2072	1	6.21887740590051
41	BA2733	2	7.13596647021647
42	BA2995	2	6.19521896796153
43	BA2069	1	5.91437229465113
44	BA2681	3	6.41031606152443
45	BA2832	2	5.75528821055756
46	BA2600	4	6.23708437608245
47	BA3230	1	5.49794810844599
48	BA2731	2	6.23172881855595
49	BA2294	4	5.73552904725917
50	BA2816	4	6.34691329698472
51	BA2814	3	6.58405509008158
52	BA2631	1	5.69101987952385
53	BA2023	1	5.6837918460088
54	BA2375	1	6.27694818574979
55	BA2485	1	5.07164095305392
56	BA2455	4	6.85962983110872
57	BA2636	4	6.17556084584677
58	BA2325	1	6.57195133441217
59	BA2156	1	5.21149930924506
60	BA2511	4	6.65901439005133
61	BA2505	4	6.28462369436049
62	BA2871	3	6.37031994316104
63	BA2227	1	5.10908170058541
64	BA2812	3	5.83841841477399
65	BA2125	1	6.33826437905032
66	BA2603	1	5.93650668840212
67	BA2808	4	5.048394609855
